epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,0.001,1.1209780947485966,0.2288557215413051,1.141857351575579,0.37735849618911743,0.42407407407407405,15/27,1/20,4/6,,,,,,
2,0.001,1.1081765872329028,0.2574626865671642,1.1377457806042262,0.3962264060974121,0.4364197530864197,16/27,1/20,4/6,,,,,,
3,0.001,1.1104432718077701,0.28109452751145436,1.1355786962168557,0.37735849618911743,0.3808641975308642,16/27,1/20,3/6,,,,,,
4,0.001,1.1060824910206581,0.30223880597014924,1.1304558430399214,0.3962264060974121,0.3932098765432099,17/27,1/20,3/6,,,,,,
5,0.001,1.0921912744863709,0.31343283582089554,1.1286990089075906,0.4716981053352356,0.4382716049382716,22/27,0/20,3/6,,,,,,
6,0.001,1.0749447212290408,0.3333333334816036,1.1248035899230413,0.5094339847564697,0.46296296296296297,24/27,0/20,3/6,,,,,,
7,0.001,1.0837477276574319,0.34825870661593195,1.1187310814857483,0.4716981053352356,0.4382716049382716,22/27,0/20,3/6,,,,,,
8,0.001,1.0875424244510594,0.34328358208955223,1.1175593520913805,0.49056604504585266,0.4506172839506173,23/27,0/20,3/6,,,,,,
9,0.001,1.0501091644835117,0.38184079616817074,1.1124238542148046,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
10,0.001,1.0646121154970198,0.43034825885473793,1.1066749351365226,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
11,0.0005,1.0517283402272124,0.41915422900399163,1.1039736143180303,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
12,0.0005,1.0480442821089901,0.41044776119402987,1.1032609875713075,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
13,0.0005,1.0468637783135941,0.42661691557115583,1.1016468299286706,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
14,0.0005,1.0364902664476365,0.38557213945175284,1.0986408931868417,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
15,0.0005,1.054827098081361,0.39552238805970147,1.096627644130162,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
16,0.0005,1.0524819929208329,0.376865671641791,1.0949968035731996,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
17,0.0005,1.045584575453801,0.38184079616817074,1.0923997781106405,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
18,0.0005,1.043862401549496,0.42661691557115583,1.0895164821829115,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
19,0.0005,1.0414423493307028,0.45149253731343286,1.0878221839666367,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
20,0.0005,1.0155559680355128,0.45149253731343286,1.0869767708437783,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
21,0.00025,1.0297240032188928,0.43532338338111765,1.0856364050081797,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
22,0.00025,1.0354045158001914,0.4054726371124609,1.084082413996969,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
23,0.00025,1.0274023742818121,0.40174129382887885,1.0823642292193003,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
24,0.00025,1.0285696271640152,0.4527363185562305,1.0814650314194816,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
25,0.00025,1.0168515256981352,0.4427860699482818,1.0805860523666655,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
26,0.00025,1.0225477592268986,0.4490049752726484,1.0801511194024767,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
27,0.00025,1.0195435009785552,0.43407960213832003,1.0786585829087667,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
28,0.00025,1.0113622185899251,0.4564676618398125,1.0780343115329742,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
29,0.00025,1.0148385820993737,0.48507462686567165,1.0764942531074797,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
30,0.00025,1.0215276292900541,0.43159204009753555,1.0747821905783244,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
31,0.000125,1.0127147276010087,0.5174129356199236,1.0753704969372069,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
32,0.000125,1.0163927287308139,0.4415422887054842,1.074846237897873,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
33,0.000125,1.0227421050641075,0.4601990051233946,1.0746302434376307,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
34,0.000125,1.0214837495960407,0.43407960213832003,1.074062547513417,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
35,0.000125,0.9992748423298793,0.47263681621693854,1.0732550982918059,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
36,0.000125,1.0049731500113188,0.458955223880597,1.0727074635880334,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
37,0.000125,1.0013615400043887,0.45149253731343286,1.0729397045714515,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
38,0.000125,0.9870953195130647,0.5136815923363415,1.071512954575675,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
39,0.000125,1.0161891330533952,0.4539800997990281,1.0713510641029902,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
40,0.000125,1.0042298827598344,0.4639303484069767,1.0701503306627274,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
41,6.25e-05,1.0018855809275784,0.4490049752726484,1.0695610855306898,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
42,6.25e-05,0.9986714115783349,0.4962686567164179,1.0693788890327727,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
43,6.25e-05,1.0115554617412055,0.4601990051233946,1.070146999188832,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
44,6.25e-05,1.0046661398304042,0.4452736319890663,1.070950014250619,0.5283018946647644,0.5185185185185185,24/27,0/20,4/6,,,,,,
45,6.25e-05,1.025092126718208,0.4838308460676848,1.0696505372013365,0.5283018946647644,0.5185185185185185,24/27,0/20,4/6,,,,,,
46,6.25e-05,1.0114071262416555,0.4713930349741409,1.0696471482515335,0.5094339847564697,0.5061728395061729,23/27,0/20,4/6,,,,,,
47,6.25e-05,0.9878896225744219,0.48631840810846927,1.068962688956942,0.5283018946647644,0.5185185185185185,24/27,0/20,4/6,,,,,,
48,6.25e-05,1.0042689371464857,0.4950248759184311,1.0679761341639928,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
49,6.25e-05,1.0175181600584913,0.4601990051233946,1.0682248962777001,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
50,6.25e-05,1.0129248161814106,0.4427860699482818,1.0670715932335173,0.49056604504585266,0.49382716049382713,22/27,0/20,4/6,,,,,,
TEST,,,,,,,,,,1.3893286436796188,0.4528301954269409,0.47179487179487184,14/20,2/20,8/13
