epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,0.001,1.1318234925839439,0.5870646767651857,1.1805788257292338,0.5471698045730591,0.3666666666666667,27/27,2/20,0/6,,,,,,
2,0.001,1.1057796273658524,0.5099502490527594,1.1619886457920074,0.5283018946647644,0.39753086419753086,25/27,2/20,1/6,,,,,,
3,0.001,1.084551054150311,0.5248756221870878,1.150899772133146,0.5283018946647644,0.43209876543209874,26/27,0/20,2/6,,,,,,
4,0.001,1.0575580788192465,0.5211442789035057,1.1378313388143266,0.5660377740859985,0.5475308641975308,25/27,1/20,4/6,,,,,,
5,0.001,1.0626448272769131,0.5335820895522388,1.1269943884440832,0.5660377740859985,0.5518518518518518,24/27,2/20,4/6,,,,,,
6,0.001,1.0389727972336669,0.5335820895522388,1.118771140064512,0.5849056839942932,0.5641975308641975,25/27,2/20,4/6,,,,,,
7,0.001,1.0474801063537598,0.5087064678099618,1.109817032303129,0.5094339847564697,0.5493827160493827,22/27,0/20,5/6,,,,,,
8,0.001,1.0638058203369825,0.42412935353037134,1.1019312058176314,0.49056604504585266,0.5370370370370371,21/27,0/20,5/6,,,,,,
9,0.001,1.0341829897752448,0.5223880597014925,1.0948332973888941,0.5094339847564697,0.5493827160493827,22/27,0/20,5/6,,,,,,
10,0.001,1.0144033507624668,0.4800995027841027,1.0881216611180986,0.5094339847564697,0.5493827160493827,22/27,0/20,5/6,,,,,,
11,0.0005,1.010567250536449,0.5236318409442902,1.084207487957818,0.5094339847564697,0.5493827160493827,22/27,0/20,5/6,,,,,,
12,0.0005,1.0173751587298379,0.49004975139205137,1.0819852820464544,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
13,0.0005,1.015754227317981,0.5024875624855952,1.0787666738033295,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
14,0.0005,1.023999096742317,0.48134328358208955,1.0757990394319807,0.5094339847564697,0.5493827160493827,22/27,0/20,5/6,,,,,,
15,0.0005,1.0096038753417,0.5236318409442902,1.0712735269750868,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
16,0.0005,0.9869912088806949,0.5124378110935439,1.0688984479222978,0.49056604504585266,0.5370370370370371,21/27,0/20,5/6,,,,,,
17,0.0005,0.9951655762409096,0.5485074626865671,1.0662031599453516,0.49056604504585266,0.5370370370370371,21/27,0/20,5/6,,,,,,
18,0.0005,1.004870033086236,0.5,1.0629494956561498,0.4716981053352356,0.5246913580246914,20/27,0/20,5/6,,,,,,
19,0.0005,1.0022325738152462,0.5136815923363415,1.0605276780469077,0.49056604504585266,0.5370370370370371,21/27,0/20,5/6,,,,,,
20,0.0005,0.979877686322625,0.5286069654706699,1.0561822950839996,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
21,0.00025,0.9909998854594444,0.4975124379592155,1.0553853596959795,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
22,0.00025,1.0023676397195502,0.5074626865671642,1.0537288231509072,0.49056604504585266,0.5370370370370371,21/27,0/20,5/6,,,,,,
23,0.00025,0.9815111035731301,0.491293532634849,1.052595215184348,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
24,0.00025,0.9720082776759987,0.5410447761194029,1.0520777574607305,0.5283018946647644,0.5617283950617283,23/27,0/20,5/6,,,,,,
25,0.00025,0.979807281672065,0.5286069654706699,1.0495380546365465,0.4528301954269409,0.5123456790123457,19/27,0/20,5/6,,,,,,
26,0.00025,0.963129277104762,0.560945273780111,1.0489037036895752,0.49056604504585266,0.5370370370370371,21/27,0/20,5/6,,,,,,
27,0.00025,0.9552284190014227,0.5087064678099618,1.0459941284997123,0.4150943458080292,0.4876543209876543,17/27,0/20,5/6,,,,,,
