epoch,lr,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,0.001,1.1364135991281539,0.3743781096010066,1.240872940846852,0.2075471729040146,11/27,0/20,0/6,,,,,
2,0.001,1.136667363679231,0.33955223880597013,1.2222758276121957,0.16981132328510284,9/27,0/20,0/6,,,,,
3,0.001,1.1212378259915023,0.373134328358209,1.2060138753482275,0.16981132328510284,8/27,0/20,1/6,,,,,
4,0.001,1.1035226547895973,0.40174129382887885,1.1949053321565901,0.2075471729040146,9/27,0/20,2/6,,,,,
5,0.001,1.116517669229365,0.38184079616817074,1.182603929724012,0.18867924809455872,8/27,0/20,2/6,,,,,
6,0.001,1.100625942892103,0.3781094528845887,1.1696565662111555,0.22641509771347046,8/27,0/20,4/6,,,,,
7,0.001,1.0633196439316024,0.4116915424368275,1.160714430468423,0.30188679695129395,12/27,0/20,4/6,,,,,
8,0.001,1.0877821570012107,0.3805970149253731,1.1495205845151628,0.24528302252292633,9/27,0/20,4/6,,,,,
9,0.001,1.0693725934669154,0.41915422900399163,1.1399824448994227,0.2641509473323822,9/27,1/20,4/6,,,,,
10,0.001,1.0251059923599015,0.458955223880597,1.1298207427774156,0.2641509473323822,9/27,1/20,4/6,,,,,
11,0.0005,1.028606569589074,0.4639303484069767,1.1272239131586892,0.3207547068595886,12/27,1/20,4/6,,,,,
12,0.0005,1.0188205606901823,0.47263681621693854,1.1226303705147334,0.3396226465702057,13/27,1/20,4/6,,,,,
13,0.0005,1.02466875581599,0.4141791044776119,1.1183572368962424,0.35849058628082275,13/27,2/20,4/6,,,,,
14,0.0005,1.03500534883186,0.4639303484069767,1.1121286707265037,0.37735849618911743,12/27,3/20,5/6,,,,,
15,0.0005,1.0149052383294745,0.5024875624855952,1.1083832723753793,0.4528301954269409,16/27,3/20,5/6,,,,,
16,0.0005,1.0111525614759815,0.5410447761194029,1.1043063402175903,0.49056604504585266,18/27,3/20,5/6,,,,,
17,0.0005,1.0046291404695653,0.5174129356199236,1.0995459471430098,0.49056604504585266,17/27,4/20,5/6,,,,,
18,0.0005,1.00298081849938,0.4950248759184311,1.0954870922224862,0.49056604504585266,17/27,4/20,5/6,,,,,
19,0.0005,1.023263839643393,0.48507462686567165,1.0920315512589045,0.49056604504585266,17/27,4/20,5/6,,,,,
20,0.0005,0.9820800130047015,0.5398009953214161,1.0874135025909968,0.5094339847564697,17/27,5/20,5/6,,,,,
21,0.00025,1.001672841719727,0.5472636818885803,1.08452393753188,0.5283018946647644,17/27,6/20,5/6,,,,,
22,0.00025,0.9985553204123654,0.5174129356199236,1.0835411378315516,0.5094339847564697,17/27,5/20,5/6,,,,,
23,0.00025,0.9975063747434474,0.5497512439293648,1.0807357047285353,0.5283018946647644,17/27,6/20,5/6,,,,,
24,0.00025,0.9815573029553712,0.5659203983064908,1.0793167820998602,0.5283018946647644,17/27,6/20,5/6,,,,,
25,0.00025,0.9944144843229606,0.4975124379592155,1.077765826668058,0.5283018946647644,17/27,6/20,5/6,,,,,
26,0.00025,0.9905275764750011,0.5435323386049983,1.0758401453495026,0.5283018946647644,17/27,6/20,5/6,,,,,
27,0.00025,0.9868761518997933,0.4713930349741409,1.073347611086709,0.5471698045730591,17/27,7/20,5/6,,,,,
28,0.00025,0.9944921745293176,0.5373134328358209,1.07097493324961,0.5660377740859985,17/27,8/20,5/6,,,,,
29,0.00025,0.9981321510094315,0.5099502490527594,1.070176648242133,0.5283018946647644,17/27,6/20,5/6,,,,,
30,0.00025,0.9871537587535915,0.5410447761194029,1.0674712359905243,0.5471698045730591,17/27,7/20,5/6,,,,,
31,0.000125,0.9672204594113933,0.5522388059701493,1.0677625451769148,0.5094339847564697,17/27,5/20,5/6,,,,,
32,0.000125,0.9795541843371605,0.5323383087542519,1.0664773072515215,0.5283018946647644,17/27,6/20,5/6,,,,,
33,0.000125,0.9774889830333083,0.5497512439293648,1.0655462316104345,0.5283018946647644,17/27,6/20,5/6,,,,,
34,0.000125,1.0090930706529475,0.5273631842278722,1.0640996609415327,0.5471698045730591,17/27,7/20,5/6,,,,,
35,0.000125,0.9791776222079548,0.560945273780111,1.0631455481052399,0.5471698045730591,17/27,7/20,5/6,,,,,
36,0.000125,0.976810097694397,0.5547263684557445,1.0619848753724779,0.5471698045730591,17/27,7/20,5/6,,,,,
37,0.000125,0.9577633057957264,0.560945273780111,1.061425473008837,0.5471698045730591,17/27,7/20,5/6,,,,,
38,0.000125,0.9528654671427029,0.6057213931830961,1.0607497606958662,0.5471698045730591,17/27,7/20,5/6,,,,,
39,0.000125,0.9687588188185621,0.5671641791044776,1.0592486347470964,0.5471698045730591,17/27,7/20,5/6,,,,,
40,0.000125,0.9857075841569188,0.5547263684557445,1.0579209796019964,0.5660377740859985,17/27,8/20,5/6,,,,,
41,6.25e-05,0.9596173976784321,0.6405472639781326,1.0578241774014063,0.5471698045730591,17/27,7/20,5/6,,,,,
42,6.25e-05,0.9557565339465639,0.5808457714408192,1.0577615286622728,0.5471698045730591,17/27,7/20,5/6,,,,,
43,6.25e-05,0.9811036720204709,0.5758706469144395,1.0571426493780953,0.5471698045730591,17/27,7/20,5/6,,,,,
44,6.25e-05,0.983642586131594,0.5621890550229087,1.0575198105403356,0.5471698045730591,17/27,7/20,5/6,,,,,
45,6.25e-05,0.9552805156850103,0.5932835820895522,1.056542068719864,0.5471698045730591,17/27,7/20,5/6,,,,,
46,6.25e-05,0.9780025353182608,0.5124378110935439,1.0563711076974869,0.5471698045730591,17/27,7/20,5/6,,,,,
47,6.25e-05,0.9648541990500777,0.5646766170636931,1.0553386062383652,0.5471698045730591,17/27,7/20,5/6,,,,,
48,6.25e-05,0.9596884143886282,0.560945273780111,1.0540352335997991,0.5660377740859985,17/27,8/20,5/6,,,,,
49,6.25e-05,0.9794138634382789,0.5472636818885803,1.0554923117160797,0.5471698045730591,17/27,7/20,5/6,,,,,
50,6.25e-05,0.9683229011386189,0.557213930496529,1.05343120438712,0.5471698045730591,17/27,7/20,5/6,,,,,
TEST,,,,,,,,,1.2349406353064947,0.5094339847564697,11/20,6/20,10/13
