epoch,lr,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
23,0.00025,1.0427965343888126,0.5,1.1072923030172075,0.5849056839942932,22/27,6/20,3/6,,,,,
24,0.00025,1.0410407852770678,0.47636815950052064,1.1060796763215746,0.5660377740859985,22/27,5/20,3/6,,,,,
25,0.00025,1.0460665466180488,0.44402985074626866,1.104106869016375,0.5660377740859985,22/27,5/20,3/6,,,,,
26,0.00025,1.0264809923385507,0.48134328358208955,1.1032343208789825,0.5660377740859985,22/27,5/20,3/6,,,,,
27,0.00025,1.020517547183962,0.46517412964977434,1.101293921470642,0.5660377740859985,22/27,5/20,3/6,,,,,
28,0.00025,1.0249963972105909,0.48258706482488717,1.0997591274125236,0.5660377740859985,22/27,5/20,3/6,,,,,
29,0.00025,1.0285184080921002,0.5012437812427977,1.0984184827123369,0.5660377740859985,22/27,5/20,3/6,,,,,
30,0.00025,1.0290175436148004,0.5136815923363415,1.0957760512828827,0.5660377740859985,21/27,6/20,3/6,,,,,
31,0.000125,1.018092057598171,0.5186567164179104,1.0955829194613866,0.5660377740859985,22/27,5/20,3/6,,,,,
32,0.000125,1.041608495498771,0.4577114430826102,1.0955246984958649,0.5660377740859985,22/27,5/20,3/6,,,,,
33,0.000125,1.0232069136491462,0.5348258707950364,1.0939323476382665,0.5660377740859985,22/27,5/20,3/6,,,,,
34,0.000125,1.016857330478839,0.5273631842278722,1.093254076583045,0.5660377740859985,22/27,5/20,3/6,,,,,
35,0.000125,1.0288987551162492,0.49378109467563347,1.092432175363813,0.5849056839942932,22/27,6/20,3/6,,,,,
36,0.000125,1.0057573478613326,0.5634328358208955,1.0913408866950445,0.5660377740859985,22/27,5/20,3/6,,,,,
37,0.000125,1.0168737706853384,0.5273631842278722,1.0917643904685974,0.5849056839942932,22/27,5/20,4/6,,,,,
38,0.000125,1.0143078174164046,0.5099502490527594,1.0903234268937791,0.5660377740859985,22/27,5/20,3/6,,,,,
39,0.000125,1.0159538779685746,0.47885572154130507,1.0888959467411041,0.5660377740859985,22/27,5/20,3/6,,,,,
40,0.000125,1.0018753609550533,0.5360696520378341,1.0888086983135767,0.5660377740859985,22/27,5/20,3/6,,,,,
41,6.25e-05,1.0128455455623455,0.5248756221870878,1.0882200513567244,0.5660377740859985,22/27,5/20,3/6,,,,,
42,6.25e-05,1.0043160310432093,0.4950248759184311,1.0876932782786233,0.5660377740859985,22/27,5/20,3/6,,,,,
43,6.25e-05,1.0280013938448322,0.516169154377126,1.0876753415380205,0.5660377740859985,22/27,5/20,3/6,,,,,
44,6.25e-05,1.0080887230474558,0.557213930496529,1.0872490789209093,0.5660377740859985,22/27,5/20,3/6,,,,,
45,6.25e-05,1.0304043542093306,0.4564676618398125,1.086412353175027,0.5660377740859985,22/27,5/20,3/6,,,,,
46,6.25e-05,1.008853799371577,0.5199004976607081,1.0868708065577917,0.5660377740859985,22/27,5/20,3/6,,,,,
47,6.25e-05,1.0338836401256162,0.5111940298507462,1.0860372909477778,0.5660377740859985,22/27,5/20,3/6,,,,,
48,6.25e-05,1.0098949074745178,0.5024875624855952,1.085979985339301,0.5660377740859985,22/27,5/20,3/6,,,,,
49,6.25e-05,1.005603429541659,0.49378109467563347,1.086103924683162,0.5660377740859985,22/27,5/20,3/6,,,,,
50,6.25e-05,1.0142017807533492,0.5323383087542519,1.0849319568702154,0.5660377740859985,22/27,5/20,3/6,,,,,
TEST,,,,,,,,,1.3457149948392595,0.698113203048706,20/20,6/20,11/13
