epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,0.001,1.1117916792186338,0.4713930349741409,1.1477533451148443,0.5849056839942932,0.4648148148148148,12/27,19/20,0/6,,,,,,
2,0.001,1.111205420387325,0.4701492537313433,1.1310630994183677,0.6037735939025879,0.48148148148148145,12/27,20/20,0/6,,,,,,
3,0.001,1.0692497723138155,0.4701492537313433,1.117732891014644,0.6037735939025879,0.4728395061728395,14/27,18/20,0/6,,,,,,
4,0.001,1.0421607503250463,0.5286069654706699,1.1073413576398576,0.6226415038108826,0.524074074074074,15/27,17/20,1/6,,,,,,
5,0.001,1.0594514110195103,0.47761194029850745,1.096816441842488,0.5471698045730591,0.5006172839506172,14/27,13/20,2/6,,,,,,
6,0.001,1.0269588552304167,0.4577114430826102,1.0893659591674805,0.49056604504585266,0.4506172839506173,14/27,10/20,2/6,,,,,,
7,0.001,1.022861828554922,0.46890547293335644,1.0825377873011999,0.49056604504585266,0.4851851851851852,15/27,8/20,3/6,,,,,,
8,0.001,1.0183781056261774,0.4713930349741409,1.0756702508245195,0.5094339847564697,0.5796296296296296,15/27,7/20,5/6,,,,,,
9,0.001,1.0210499372055282,0.4639303484069767,1.0696642228535242,0.5283018946647644,0.5962962962962963,15/27,8/20,5/6,,,,,,
10,0.001,0.9983113381400037,0.5360696520378341,1.062674607549395,0.5283018946647644,0.5962962962962963,15/27,8/20,5/6,,,,,,
11,0.0005,0.9863161426871571,0.491293532634849,1.0604007840156555,0.5471698045730591,0.612962962962963,15/27,9/20,5/6,,,,,,
12,0.0005,1.003975638702734,0.5024875624855952,1.0575031297547477,0.5094339847564697,0.5796296296296296,15/27,7/20,5/6,,,,,,
13,0.0005,0.9947536258555171,0.5199004976607081,1.0537784951073783,0.5283018946647644,0.5962962962962963,15/27,8/20,5/6,,,,,,
