epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,0.001,1.181812947365775,0.13930348273533494,1.2228848210402898,0.09433962404727936,0.19135802469135801,2/27,0/20,3/6,,,,,,
2,0.001,1.160685405802371,0.1417910447761194,1.2074521354266576,0.09433962404727936,0.2777777777777778,0/27,0/20,5/6,,,,,,
3,0.001,1.1221483260837954,0.21766169169055882,1.1973611073834556,0.07547169923782349,0.2222222222222222,0/27,0/20,4/6,,,,,,
4,0.001,1.130160717821833,0.21641791044776118,1.1882943851607186,0.15094339847564697,0.2716049382716049,4/27,0/20,4/6,,,,,,
5,0.001,1.1101734228988192,0.26616915437712596,1.180319104875837,0.2075471729040146,0.35185185185185186,6/27,0/20,5/6,,,,,,
6,0.001,1.1098140335794706,0.26492537313432835,1.1717809907027654,0.2075471729040146,0.35185185185185186,6/27,0/20,5/6,,,,,,
7,0.001,1.0949778814813984,0.27238805970149255,1.1633011869021825,0.2075471729040146,0.35185185185185186,6/27,0/20,5/6,,,,,,
8,0.001,1.0866036112628765,0.3333333334816036,1.1548461019992828,0.2075471729040146,0.3950617283950617,5/27,0/20,6/6,,,,,,
9,0.001,1.072776853148617,0.31343283582089554,1.147111028432846,0.2075471729040146,0.3950617283950617,5/27,0/20,6/6,,,,,,
10,0.001,1.041000911548956,0.39800995054529675,1.1400374174118042,0.22641509771347046,0.41172839506172837,5/27,1/20,6/6,,,,,,
11,0.0005,1.0698418448220437,0.40671641791044777,1.1360815167427063,0.2641509473323822,0.44506172839506175,5/27,3/20,6/6,,,,,,
12,0.0005,1.0692865466003987,0.35572139318309615,1.1326836603028434,0.2641509473323822,0.44506172839506175,5/27,3/20,6/6,,,,,,
13,0.0005,1.0438136760868244,0.3631840797502603,1.1291217761380332,0.28301888704299927,0.4617283950617284,5/27,4/20,6/6,,,,,,
14,0.0005,1.046123288460632,0.35572139318309615,1.1268133223056793,0.2641509473323822,0.4364197530864198,7/27,1/20,6/6,,,,,,
15,0.0005,1.0491205124712701,0.3582089552238806,1.1229579959596907,0.28301888704299927,0.45740740740740743,6/27,3/20,6/6,,,,,,
16,0.0005,1.0462523253995981,0.35199004989951405,1.119031058890479,0.28301888704299927,0.4617283950617284,5/27,4/20,6/6,,,,,,
17,0.0005,1.0515250385697208,0.39676616930249914,1.1160108234201158,0.3396226465702057,0.49444444444444446,9/27,3/20,6/6,,,,,,
18,0.0005,1.0171282389270726,0.43532338338111765,1.1134956989969527,0.30188679695129395,0.46975308641975305,7/27,3/20,6/6,,,,,,
19,0.0005,1.0335387676509458,0.3718905475602221,1.1092951936381203,0.3396226465702057,0.5030864197530864,7/27,5/20,6/6,,,,,,
20,0.0005,1.02886244966023,0.41044776119402987,1.1064962616988592,0.3396226465702057,0.4987654320987654,8/27,4/20,6/6,,,,,,
21,0.00025,1.0333932469140237,0.409203980396043,1.1053839751652308,0.37735849618911743,0.5277777777777778,9/27,5/20,6/6,,,,,,
22,0.00025,1.0264414255298786,0.38930348273533494,1.1034512519836426,0.35849058628082275,0.5154320987654321,8/27,5/20,6/6,,,,,,
23,0.00025,1.028204293393377,0.40174129382887885,1.1024530529975891,0.35849058628082275,0.5154320987654321,8/27,5/20,6/6,,,,,,
24,0.00025,1.022067776366846,0.42412935353037134,1.10168337396213,0.37735849618911743,0.5191358024691358,11/27,3/20,6/6,,,,,,
25,0.00025,1.0276814663588112,0.4415422887054842,1.1000732481479645,0.3396226465702057,0.49444444444444446,9/27,3/20,6/6,,,,,,
26,0.00025,1.0041853038232718,0.46890547293335644,1.097852157694953,0.35849058628082275,0.5154320987654321,8/27,5/20,6/6,,,,,,
27,0.00025,1.0019191414562625,0.4664179104477612,1.0963833630084991,0.37735849618911743,0.5277777777777778,9/27,5/20,6/6,,,,,,
28,0.00025,1.002571744705314,0.4465174132318639,1.0958797335624695,0.3207547068595886,0.48209876543209873,8/27,3/20,6/6,,,,,,
29,0.00025,1.001435189104792,0.46144278636619224,1.0935447003160204,0.37735849618911743,0.5277777777777778,9/27,5/20,6/6,,,,,,
30,0.00025,0.9938309352789352,0.4601990051233946,1.092612087726593,0.37735849618911743,0.5277777777777778,9/27,5/20,6/6,,,,,,
31,0.000125,1.0059901555972313,0.43159204009753555,1.0928289762565069,0.4150943458080292,0.5438271604938272,13/27,3/20,6/6,,,,,,
32,0.000125,1.0099651519931965,0.43656716417910446,1.09095727120127,0.3962264060974121,0.5401234567901234,10/27,5/20,6/6,,,,,,
33,0.000125,1.0073036346862565,0.46144278636619224,1.0907083920070104,0.3962264060974121,0.5401234567901234,10/27,5/20,6/6,,,,,,
34,0.000125,0.991108016291661,0.5012437812427977,1.0889724280153001,0.3962264060974121,0.5401234567901234,10/27,5/20,6/6,,,,,,
35,0.000125,1.012812161623542,0.46144278636619224,1.0895862111023493,0.37735849618911743,0.5234567901234568,10/27,4/20,6/6,,,,,,
36,0.000125,1.00933243979269,0.42288557228757373,1.0887280787740434,0.37735849618911743,0.5234567901234568,10/27,4/20,6/6,,,,,,
37,0.000125,1.0059137032992804,0.43532338338111765,1.087611539023263,0.3962264060974121,0.49259259259259264,12/27,4/20,5/6,,,,,,
38,0.000125,1.007532245187617,0.4577114430826102,1.0872085860797338,0.4150943458080292,0.5481481481481482,12/27,4/20,6/6,,,,,,
39,0.000125,0.9950098982497827,0.4465174132318639,1.0861259145396096,0.43396228551864624,0.5648148148148148,12/27,5/20,6/6,,,,,,
40,0.000125,1.0140165909012753,0.43407960213832003,1.086010924407414,0.4150943458080292,0.5481481481481482,12/27,4/20,6/6,,,,,,
41,6.25e-05,0.9790999017544647,0.4713930349741409,1.0845091257776533,0.43396228551864624,0.5648148148148148,12/27,5/20,6/6,,,,,,
42,6.25e-05,1.001993319881496,0.4639303484069767,1.0836128166743688,0.4528301954269409,0.5814814814814815,12/27,6/20,6/6,,,,,,
43,6.25e-05,0.9957297462135998,0.4626865671641791,1.0848210155963898,0.4150943458080292,0.5481481481481482,12/27,4/20,6/6,,,,,,
44,6.25e-05,0.9965124477201434,0.417910447761194,1.084069379738399,0.43396228551864624,0.5648148148148148,12/27,5/20,6/6,,,,,,
45,6.25e-05,0.9926629733683457,0.5435323386049983,1.0841694687094008,0.43396228551864624,0.5648148148148148,12/27,5/20,6/6,,,,,,
46,6.25e-05,0.9906376431237406,0.5124378110935439,1.083769632237298,0.43396228551864624,0.5648148148148148,12/27,5/20,6/6,,,,,,
47,6.25e-05,1.0011287287100037,0.43905472666469975,1.0840433921132768,0.43396228551864624,0.5604938271604939,13/27,4/20,6/6,,,,,,
48,6.25e-05,1.0048320738237295,0.42288557228757373,1.0822646915912628,0.3962264060974121,0.5444444444444444,9/27,6/20,6/6,,,,,,
49,6.25e-05,0.9994523329521293,0.44402985074626866,1.0835797360965185,0.4528301954269409,0.5296296296296297,15/27,4/20,5/6,,,,,,
50,6.25e-05,0.9989287702005301,0.417910447761194,1.0813783151762826,0.4528301954269409,0.5814814814814815,12/27,6/20,6/6,,,,,,
TEST,,,,,,,,,,1.348804541996547,0.3207547068595886,0.3730769230769231,4/20,3/20,10/13
