epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
31,1.0979260446420356,0.09328358208955224,1.1683684246880668,0.11320754885673523,0/27,0/20,6/6,,,,,
32,1.0972336432827052,0.09328358208955224,1.1686315025602068,0.11320754885673523,0/27,0/20,6/6,,,,,
33,1.098630213915412,0.17537313432835822,1.1687142934117998,0.11320754885673523,0/27,0/20,6/6,,,,,
34,1.1026706828999875,0.0833333334816036,1.1689720153808594,0.11320754885673523,0/27,0/20,6/6,,,,,
35,1.1018532354440262,0.09452736333234986,1.1686704073633467,0.11320754885673523,0/27,0/20,6/6,,,,,
36,1.0984355745030874,0.08955223880597014,1.1687711477279663,0.11320754885673523,0/27,0/20,6/6,,,,,
37,1.0973994634044704,0.1791044776119403,1.1685854026249476,0.11320754885673523,0/27,0/20,6/6,,,,,
38,1.0961654604370914,0.16915422900399166,1.1686430403164454,0.11320754885673523,0/27,0/20,6/6,,,,,
39,1.1025673702581604,0.19900497527264838,1.1687222634043013,0.11320754885673523,0/27,0/20,6/6,,,,,
40,1.0977085117083878,0.09328358208955224,1.1687107597078596,0.11320754885673523,0/27,0/20,6/6,,,,,
41,1.0978392157981645,0.09328358208955224,1.1686979191643851,0.11320754885673523,0/27,0/20,6/6,,,,,
42,1.098616284220966,0.1965174132318639,1.168906033039093,0.11320754885673523,0/27,0/20,6/6,,,,,
43,1.0981912328236139,0.14925373134328357,1.1687029429844447,0.11320754885673523,0/27,0/20,6/6,,,,,
44,1.1018346663731247,0.09452736333234986,1.1690579312188285,0.11320754885673523,0/27,0/20,6/6,,,,,
45,1.1012563625378395,0.27611940298507465,1.1688026189804077,0.37735849618911743,0/27,20/20,0/6,,,,,
46,1.1019531737512618,0.09452736333234986,1.1690271837370736,0.11320754885673523,0/27,0/20,6/6,,,,,
47,1.0970761535772637,0.19402985074626866,1.16881092105593,0.11320754885673523,0/27,0/20,6/6,,,,,
48,1.0972270511869173,0.19776119402985073,1.1686698709215437,0.11320754885673523,0/27,0/20,6/6,,,,,
49,1.1019599072968782,0.1878109454219021,1.169079874243055,0.11320754885673523,0/27,0/20,6/6,,,,,
50,1.097864468595875,0.21393034840697672,1.168885384287153,0.37735849618911743,0/27,20/20,0/6,,,,,
TEST,,,,,,,,1.580027597291129,0.37735849618911743,0/20,20/20,0/13
