epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
19,1.1020896763943915,0.30970149253731344,1.169271000794002,0.37735849618911743,0/27,20/20,0/6,,,,,
20,1.1058636067518548,0.30970149253731344,1.1687701003892081,0.37735849618911743,0/27,20/20,0/6,,,,,
21,1.0979320825035892,0.31094527378011105,1.1690852642059326,0.37735849618911743,0/27,20/20,0/6,,,,,
22,1.0971278743957407,0.30970149253731344,1.1686863899230957,0.37735849618911743,0/27,20/20,0/6,,,,,
23,1.0975207375056708,0.30970149253731344,1.168799340724945,0.37735849618911743,0/27,20/20,0/6,,,,,
24,1.1013720426986466,0.3283582089552239,1.1691717760903495,0.37735849618911743,0/27,20/20,0/6,,,,,
25,1.1016304831006634,0.30970149253731344,1.1690264684813363,0.37735849618911743,0/27,20/20,0/6,,,,,
26,1.097646888512284,0.11194029850746269,1.1688531722341264,0.11320754885673523,0/27,0/20,6/6,,,,,
27,1.099138589047674,0.1455223880597015,1.1692812740802765,0.11320754885673523,0/27,0/20,6/6,,,,,
28,1.097797180289653,0.35323383114231166,1.169384241104126,0.5094339847564697,27/27,0/20,0/6,,,,,
29,1.0980680994133452,0.18034825885473793,1.1690318073545183,0.37735849618911743,0/27,20/20,0/6,,,,,
30,1.0979291120571877,0.26119402985074625,1.1689857414790563,0.11320754885673523,0/27,0/20,6/6,,,,,
31,1.1016994003039688,0.30970149253731344,1.1693397504942757,0.37735849618911743,0/27,20/20,0/6,,,,,
32,1.0986081601968452,0.30223880597014924,1.1691093444824219,0.11320754885673523,0/27,0/20,6/6,,,,,
33,1.0979568122038201,0.3631840797502603,1.1689697078296117,0.37735849618911743,0/27,20/20,0/6,,,,,
34,1.098553507185694,0.47263681621693854,1.1694066098758154,0.5094339847564697,27/27,0/20,0/6,,,,,
35,1.0973918615882077,0.30223880597014924,1.16875764301845,0.37735849618911743,0/27,20/20,0/6,,,,,
36,1.1014008183977497,0.2462686567164179,1.1689310925347465,0.37735849618911743,0/27,20/20,0/6,,,,,
37,1.1020262303637034,0.2960199006457827,1.1690720915794373,0.37735849618911743,0/27,20/20,0/6,,,,,
38,1.1012993597272616,0.26865671641791045,1.1687520742416382,0.37735849618911743,0/27,20/20,0/6,,,,,
39,1.1026685175611013,0.24129353263484898,1.1690625378063746,0.37735849618911743,0/27,20/20,0/6,,,,,
40,1.0978912711143494,0.19527363198906628,1.1687758735248022,0.37735849618911743,0/27,20/20,0/6,,,,,
41,1.09860938609536,0.31218905502290867,1.169028171471187,0.37735849618911743,0/27,20/20,0/6,,,,,
42,1.0981885719655164,0.31094527378011105,1.1690342000552587,0.37735849618911743,0/27,20/20,0/6,,,,,
43,1.1056665146528786,0.30970149253731344,1.1692770293780737,0.37735849618911743,0/27,20/20,0/6,,,,,
44,1.1001101109518934,0.09701492537313433,1.1691764763423376,0.11320754885673523,0/27,0/20,6/6,,,,,
45,1.0972275591608305,0.10820895522388059,1.1685229539871216,0.11320754885673523,0/27,0/20,6/6,,,,,
46,1.0987494587898254,0.09328358208955224,1.1691024899482727,0.11320754885673523,0/27,0/20,6/6,,,,,
47,1.1017898890509534,0.12064676631742449,1.1688991444451469,0.37735849618911743,0/27,20/20,0/6,,,,,
48,1.0988437222011054,0.31467661706369315,1.1692583901541573,0.5094339847564697,27/27,0/20,0/6,,,,,
49,1.1029487714838626,0.18159204009753555,1.1692261270114355,0.37735849618911743,0/27,20/20,0/6,,,,,
50,1.0971046018956312,0.1865671641791045,1.1689227649143763,0.11320754885673523,0/27,0/20,6/6,,,,,
TEST,,,,,,,,1.5792073948042733,0.24528302252292633,0/20,0/20,13/13
