epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,lr,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
42,0.6949166055045911,0.6940298507462687,0.9408679561955589,0.4528301954269409,0.391358024691358,11/27,12/20,1/6,2.5e-05,,,,,,,
43,0.6979034391801748,0.6952736319890663,0.935299426317215,0.43396228551864624,0.36604938271604937,13/27,9/20,1/6,2.5e-05,,,,,,,
44,0.6810213356320538,0.662935323679625,0.9526443013123104,0.4716981053352356,0.4382716049382716,13/27,10/20,2/6,2.5e-05,,,,,,,
45,0.6973809964621245,0.655472637112461,0.9462363592215947,0.4528301954269409,0.37839506172839504,14/27,9/20,1/6,2.5e-05,,,,,,,
46,0.6806773285367596,0.6791044776119403,0.929646623986108,0.4528301954269409,0.3654320987654321,17/27,6/20,1/6,2.5e-05,,,,,,,
47,0.7271972125145927,0.6318407961681708,0.9336263239383698,0.4716981053352356,0.38641975308641974,16/27,8/20,1/6,2.5e-05,,,,,,,
48,0.6883342390629783,0.6902985074626866,0.9482425579002925,0.49056604504585266,0.4246913580246913,11/27,14/20,1/6,2.5e-05,,,,,,,
49,0.6601545096778157,0.7089552238805971,0.9214126723153251,0.4528301954269409,0.3654320987654321,17/27,6/20,1/6,2.5e-05,,,,,,,
50,0.6542635266460589,0.7114427863661923,0.9145663763795581,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,2.5e-05,,,,,,,
51,0.5985810825629021,0.7674129356199236,0.9153801713671003,0.49056604504585266,0.4030864197530864,16/27,9/20,1/6,2.5e-05,,,,,,,
52,0.6303718899612996,0.7611940298507462,0.9159323104790279,0.4716981053352356,0.38641975308641974,16/27,8/20,1/6,2.5e-05,,,,,,,
53,0.6525648085039053,0.6952736319890663,0.9061203896999359,0.49056604504585266,0.39876543209876547,17/27,8/20,1/6,2.5e-05,,,,,,,
54,0.6517108558718838,0.7350746268656716,0.9106820396014622,0.49056604504585266,0.4030864197530864,16/27,9/20,1/6,2.5e-05,,,,,,,
55,0.6668056251842585,0.6940298507462687,0.8952018022537231,0.5094339847564697,0.40246913580246907,20/27,6/20,1/6,2.5e-05,,,,,,,
56,0.6902218251975615,0.7189054729333565,0.9056410150868552,0.49056604504585266,0.4030864197530864,16/27,9/20,1/6,1.25e-05,,,,,,,
57,0.6669156364540556,0.7238805970149254,0.9132696730749947,0.49056604504585266,0.4030864197530864,16/27,9/20,1/6,1.25e-05,,,,,,,
58,0.6127806463793143,0.7139303484069768,0.9207146040030888,0.4716981053352356,0.38641975308641974,16/27,8/20,1/6,1.25e-05,,,,,,,
59,0.6960302184321987,0.6666666669632072,0.9192325983728681,0.5094339847564697,0.4240740740740741,15/27,11/20,1/6,1.25e-05,,,,,,,
