epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
23,1.0971735902686617,0.30970149253731344,1.1682061042104448,0.37735849618911743,0/27,20/20,0/6,,,,,
24,1.098765009374761,0.31218905502290867,1.1686682615961348,0.37735849618911743,0/27,20/20,0/6,,,,,
25,1.09791691089744,0.31094527378011105,1.1687188148498535,0.37735849618911743,0/27,20/20,0/6,,,,,
26,1.0979869436861864,0.31094527378011105,1.1684101479394096,0.37735849618911743,0/27,20/20,0/6,,,,,
27,1.0985810133948255,0.31218905502290867,1.1687034709112984,0.37735849618911743,0/27,20/20,0/6,,,,,
28,1.150020520633726,0.34328358208955223,1.1683391758373805,0.37735849618911743,0/27,20/20,0/6,,,,,
29,1.098495847253657,0.31218905502290867,1.1684537529945374,0.37735849618911743,0/27,20/20,0/6,,,,,
30,1.0978937673924574,0.31094527378011105,1.1686612708227975,0.37735849618911743,0/27,20/20,0/6,,,,,
31,1.0977841802497408,0.31094527378011105,1.1686567153249467,0.37735849618911743,0/27,20/20,0/6,,,,,
32,1.102752879484376,0.31218905502290867,1.1686948878424508,0.37735849618911743,0/27,20/20,0/6,,,,,
33,1.102273808486426,0.30721393049652895,1.1686543822288513,0.37735849618911743,0/27,20/20,0/6,,,,,
34,1.0985577204334203,0.31218905502290867,1.1687443171228682,0.37735849618911743,0/27,20/20,0/6,,,,,
35,1.1012090079819978,0.30597014925373134,1.1685811877250671,0.37735849618911743,0/27,20/20,0/6,,,,,
36,1.098590124898882,0.31218905502290867,1.1688416770526342,0.37735849618911743,0/27,20/20,0/6,,,,,
37,1.097808603030532,0.31094527378011105,1.1688378538404192,0.37735849618911743,0/27,20/20,0/6,,,,,
38,1.097045349540995,0.30970149253731344,1.1687067747116089,0.37735849618911743,0/27,20/20,0/6,,,,,
39,1.0978718693576641,0.31094527378011105,1.1688273463930403,0.37735849618911743,0/27,20/20,0/6,,,,,
40,1.1025512431984517,0.31218905502290867,1.1691990068980627,0.37735849618911743,0/27,20/20,0/6,,,,,
41,1.1012629466270334,0.23134328358208955,1.1689356139728002,0.37735849618911743,0/27,20/20,0/6,,,,,
42,1.0970706085660564,0.30970149253731344,1.1690891214779444,0.37735849618911743,0/27,20/20,0/6,,,,,
43,1.09711708239655,0.30970149253731344,1.16890606709889,0.37735849618911743,0/27,20/20,0/6,,,,,
44,1.0970202292968978,0.1455223880597015,1.1689530525888716,0.37735849618911743,0/27,20/20,0/6,,,,,
45,1.1011349016161107,0.2574626865671642,1.169029482773372,0.37735849618911743,0/27,20/20,0/6,,,,,
46,1.0977954989048972,0.31094527378011105,1.1689498594829015,0.37735849618911743,0/27,20/20,0/6,,,,,
47,1.0977435770319468,0.12313432835820895,1.1690063306263514,0.11320754885673523,0/27,0/20,6/6,,,,,
48,1.098709988949904,0.1629353236796251,1.1689423748425074,0.37735849618911743,0/27,20/20,0/6,,,,,
49,1.1053369730266172,0.33955223880597013,1.1690855537142073,0.37735849618911743,0/27,20/20,0/6,,,,,
50,1.0980941946826763,0.10820895522388059,1.1689462746892656,0.37735849618911743,0/27,20/20,0/6,,,,,
TEST,,,,,,,,1.5800744209970747,0.37735849618911743,0/20,20/20,0/13
