epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
68,0.46207668165217586,0.7935323386049983,0.9038549789360592,0.5094339847564697,0.4586419753086419,16/27,9/20,2/6,,,,,,,
69,0.5319981337038439,0.7636815923363415,0.9138087928295135,0.49056604504585266,0.4419753086419753,16/27,8/20,2/6,,,,,,,
70,0.4537044031851327,0.7985074626865671,0.9126782502446856,0.49056604504585266,0.4290123456790123,19/27,5/20,2/6,,,,,,,
71,0.550752562262229,0.7238805970149254,0.9145596346684864,0.5660377740859985,0.49567901234567896,19/27,9/20,2/6,best,,,,,,
72,0.4644840785038115,0.8097014925373134,0.9229394325188228,0.5094339847564697,0.445679012345679,19/27,6/20,2/6,,,,,,,
73,0.5213553645272753,0.7786069654706699,0.9081100608621325,0.5283018946647644,0.45802469135802465,20/27,6/20,2/6,,,,,,,
74,0.5467712349300065,0.7723880597014925,0.9079548503671374,0.5283018946647644,0.47962962962962963,15/27,11/20,2/6,,,,,,,
75,0.4864890064154543,0.7711442789035057,0.8909990383046014,0.5283018946647644,0.4191358024691358,20/27,7/20,1/6,,,,,,,
76,0.459236271456996,0.7885572140786186,0.8934961152928216,0.5660377740859985,0.44382716049382714,22/27,7/20,1/6,,,,,,,
77,0.4675955394032731,0.7898009953214161,0.912984277520861,0.5094339847564697,0.3938271604938271,22/27,4/20,1/6,,,,,,,
78,0.43286737921967433,0.8308457714408192,0.9144428649118969,0.5283018946647644,0.4148148148148148,21/27,6/20,1/6,,,,,,,
79,0.5599186927524965,0.745024875918431,0.9515626217637744,0.5094339847564697,0.4802469135802469,11/27,14/20,2/6,,,,,,,
80,0.45107257082613544,0.8283582089552238,0.911608623606818,0.5094339847564697,0.41111111111111115,18/27,8/20,1/6,,,,,,,
81,0.4893596345808969,0.7910447761194029,0.9447856417724064,0.49056604504585266,0.4549382716049382,13/27,11/20,2/6,,,,,,,
82,0.45192325960344343,0.7798507462686567,0.971611031464168,0.5094339847564697,0.432716049382716,13/27,13/20,1/6,,,,,,,
83,0.46692935955613407,0.7611940298507462,0.9318709203175136,0.5094339847564697,0.4154320987654321,17/27,9/20,1/6,,,,,,,
84,0.5346884473935881,0.7475124379592155,0.9452741529260363,0.5094339847564697,0.4197530864197531,16/27,10/20,1/6,,,,,,,
85,0.5086540383523079,0.7549751245263797,0.940444507769176,0.5283018946647644,0.42345679012345677,19/27,8/20,1/6,,,,,,,
86,0.5036405753066291,0.7985074626865671,0.9249728492328099,0.5094339847564697,0.43703703703703706,21/27,4/20,2/6,,,,,,,
87,0.4539424765910675,0.7873134328358209,0.9233020799500602,0.5471698045730591,0.4271604938271605,22/27,6/20,1/6,,,,,,,
88,0.4238588115506208,0.8047263684557445,0.913753982101168,0.5094339847564697,0.4067901234567901,19/27,7/20,1/6,,,,,,,
89,0.44207075238227844,0.823383084873655,0.946557994399752,0.5094339847564697,0.4197530864197531,16/27,10/20,1/6,,,,,,,
90,0.4986463099606891,0.7723880597014925,0.9460963138512203,0.5283018946647644,0.4364197530864198,16/27,11/20,1/6,,,,,,,
91,0.43036772249572314,0.8283582089552238,0.9566467574664524,0.49056604504585266,0.4246913580246914,20/27,4/20,2/6,,,,,,,
92,0.4686232492772501,0.8059701492537313,0.956076592206955,0.49056604504585266,0.3814814814814815,21/27,4/20,1/6,,,,,,,
93,0.43105567708166675,0.8383084580079833,0.9629458210297993,0.49056604504585266,0.3814814814814815,21/27,4/20,1/6,,,,,,,
94,0.4369181856068213,0.7947761194029851,0.9674456907170159,0.5094339847564697,0.39814814814814814,21/27,5/20,1/6,,,,,,,
95,0.40524893387484906,0.8383084580079833,0.9879812662090574,0.5094339847564697,0.46728395061728395,14/27,11/20,2/6,,,,,,,
96,0.3711826336194775,0.835820895522388,0.961040028503963,0.5471698045730591,0.4703703703703703,21/27,6/20,2/6,,,,,,,
97,0.3508094436586348,0.8495024878587296,0.9755693588938031,0.5283018946647644,0.4104938271604938,22/27,5/20,1/6,,,,,,,
98,0.38343109585233587,0.8345771147244012,0.9524386610303607,0.5283018946647644,0.4623456790123457,19/27,7/20,2/6,,,,,,,
99,0.4323356449882041,0.8121890550229087,0.9413487889936992,0.5471698045730591,0.4401234567901235,19/27,9/20,1/6,,,,,,,
100,0.4013066860332863,0.827114428157237,0.9774511477776936,0.49056604504585266,0.3814814814814815,21/27,4/20,1/6,,,,,,,
TEST,,,,,,,,,,1.6110084397452218,0.3962264060974121,0.35000000000000003,9/20,12/20,0/13
