epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
54,0.6269478346429654,0.7338308460676848,0.9435439152376992,0.6226415038108826,0.6580246913580247,11/27,18/20,4/6,best,,,,,,
55,0.5544461324366171,0.7425373134328358,0.9736416382449014,0.5283018946647644,0.5746913580246914,11/27,13/20,4/6,,,,,,,
56,0.5720350551071451,0.7151741296497743,0.9522202823843274,0.5660377740859985,0.5950617283950618,14/27,12/20,4/6,,,,,,,
57,0.5507616262827346,0.746268656716418,0.9372688744749341,0.5471698045730591,0.5654320987654321,17/27,8/20,4/6,,,,,,,
58,0.5598381243979753,0.7052238805970149,0.9453503106321607,0.5471698045730591,0.582716049382716,13/27,12/20,4/6,,,,,,,
59,0.5021128857980913,0.7599502490527594,0.9797134697437286,0.5094339847564697,0.5709876543209876,8/27,15/20,4/6,,,,,,,
60,0.5721483519717828,0.7686567164179104,0.9432160173143659,0.5660377740859985,0.5216049382716049,13/27,15/20,2/6,,,,,,,
61,0.5635865235061788,0.7338308460676848,0.946213594504765,0.49056604504585266,0.4765432098765432,17/27,6/20,3/6,,,,,,,
62,0.5802171924220982,0.7077114430826101,0.9854570691074643,0.4716981053352356,0.5074074074074074,15/27,6/20,4/6,,,,,,,
63,0.570276978856592,0.766169154377126,0.9487976964030947,0.5094339847564697,0.4888888888888889,18/27,6/20,3/6,,,,,,,
64,0.5203420155083955,0.7960199006457827,0.9383355442966733,0.5094339847564697,0.49753086419753084,16/27,8/20,3/6,,,,,,,
65,0.6215606674329558,0.7114427863661923,0.9443308902638299,0.49056604504585266,0.4765432098765432,17/27,6/20,3/6,,,,,,,
66,0.5564067437132793,0.7164179104477612,0.9666889714343208,0.4716981053352356,0.4641975308641975,16/27,6/20,3/6,,,,,,,
67,0.4944410356345461,0.7873134328358209,0.9604469005550657,0.5094339847564697,0.4759259259259259,21/27,3/20,3/6,,,,,,,
68,0.5070773205205575,0.7562189057691774,0.97139929660729,0.5471698045730591,0.47901234567901235,19/27,8/20,2/6,,,,,,,
69,0.5013524194929138,0.7723880597014925,0.9977710949523109,0.5283018946647644,0.4623456790123457,19/27,7/20,2/6,,,,,,,
70,0.49269801811940633,0.7611940298507462,0.9865716589348656,0.4716981053352356,0.42098765432098767,17/27,6/20,2/6,,,,,,,
71,0.5735454185685115,0.7574626865671642,1.0380327041660036,0.43396228551864624,0.4308641975308642,16/27,4/20,3/6,,,,,,,
72,0.4712808983984278,0.7898009953214161,1.0316858972821916,0.5094339847564697,0.4888888888888889,18/27,6/20,3/6,,,,,,,
73,0.5291650745628486,0.7860696520378341,1.0153250928436006,0.5094339847564697,0.5364197530864198,16/27,7/20,4/6,,,,,,,
