epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_c0,test_c1,test_c2
32,0.049822593014861055,0.9888059701492538,1.8254066123627126,0.5471698045730591,26/27,3/20,0/6,,,,,,
33,0.09462164626925934,0.9776119402985075,1.290995255112648,0.6226415038108826,24/27,8/20,1/6,,,,,,
34,0.07008942077196996,0.9850746268656716,1.2862371425809604,0.5849056839942932,24/27,7/20,0/6,,,,,,
35,0.031090849077454144,0.996268656716418,1.3156071099053537,0.5471698045730591,21/27,8/20,0/6,,,,,,
36,0.05742968341487472,0.9813432835820896,1.688293343476419,0.5660377740859985,25/27,5/20,0/6,,,,,,
37,0.022035647680050757,1.0,1.5681709190830588,0.5849056839942932,24/27,7/20,0/6,,,,,,
38,0.017909825709995938,1.0,1.3126736022531986,0.5849056839942932,21/27,10/20,0/6,,,,,,
39,0.043563407803225374,0.9888059701492538,1.5177576950352107,0.6037735939025879,23/27,9/20,0/6,,,,,,
40,0.028361155107116096,0.9925373134328358,1.773694449636553,0.6037735939025879,24/27,8/20,0/6,,,,,,
41,0.013526890539434311,1.0,1.5260503683239222,0.5849056839942932,23/27,8/20,0/6,,,,,,
42,0.036938743356206116,0.9776119402985075,1.8035516177437134,0.5660377740859985,23/27,7/20,0/6,,,,,,
43,0.034276289878989834,0.9888059701492538,1.7315472952489341,0.6037735939025879,22/27,10/20,0/6,,,,,,
44,0.022295938004987616,0.9925373134328358,1.9717025396281056,0.6037735939025879,24/27,8/20,0/6,,,,,,
45,0.03227732677265494,0.995024875918431,1.714135382058365,0.6037735939025879,22/27,10/20,0/6,,,,,,
46,0.009989983565711595,0.996268656716418,2.103490909561515,0.5849056839942932,24/27,7/20,0/6,,,,,,
47,0.010246252061177128,1.0,2.0970915124884675,0.5849056839942932,24/27,7/20,0/6,,,,,,
48,0.010067971955923393,1.0,1.7464762342029385,0.6226415038108826,23/27,10/20,0/6,,,,,,
49,0.019306330200080667,0.9888059701492538,1.8298051953980965,0.6037735939025879,24/27,8/20,0/6,,,,,,
50,0.008750742668848604,1.0,1.9338492111169867,0.5849056839942932,24/27,7/20,0/6,,,,,,
TEST,,,,,,,,,1.6308842641966683,0.30188679695129395,12/20,4/20,0/13
