epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_c0,test_c1,test_c2
1,1.0202474985549699,0.5671641791044776,1.1146400975329536,0.5094339847564697,27/27,0/20,0/6,best,,,,,
2,1.0346852238498516,0.560945273780111,1.09328727211271,0.5094339847564697,27/27,0/20,0/6,best,,,,,
3,0.9941792537027331,0.6007462686567164,1.1159590120826448,0.5094339847564697,27/27,0/20,0/6,best,,,,,
4,1.0086153114019936,0.5970149253731343,1.0342976727655955,0.49056604504585266,25/27,1/20,0/6,,,,,,
5,0.8950534547442821,0.6194029850746269,1.0332595237663813,0.49056604504585266,25/27,1/20,0/6,,,,,,
6,0.9354798340085727,0.6194029850746269,1.0140410704272134,0.5094339847564697,25/27,2/20,0/6,best,,,,,
7,0.8962518608392175,0.6256218908438042,1.0148773619106837,0.49056604504585266,23/27,3/20,0/6,,,,,,
8,0.8484442398619296,0.6405472639781326,1.0317782248769487,0.5094339847564697,25/27,2/20,0/6,best,,,,,
9,0.8110566668546022,0.6753731343283582,0.9766504679407392,0.5094339847564697,20/27,7/20,0/6,best,,,,,
10,0.731620724966277,0.7363184081084693,0.9856115643467221,0.5094339847564697,22/27,5/20,0/6,best,,,,,
11,0.7056150538707847,0.7549751245263797,1.079128501670701,0.5094339847564697,25/27,2/20,0/6,best,,,,,
12,0.6640567888519657,0.75,0.9554389800344195,0.5094339847564697,16/27,11/20,0/6,best,,,,,
13,0.5841892581822267,0.832089552238806,0.9736292106764657,0.49056604504585266,20/27,6/20,0/6,,,,,,
14,0.5531392428857177,0.8208955223880597,0.9577697813510895,0.5094339847564697,18/27,8/20,1/6,best,,,,,
15,0.5197246387156088,0.835820895522388,0.991941654256412,0.5094339847564697,20/27,7/20,0/6,best,,,,,
16,0.4575314554038332,0.8917910447761194,1.129605512533869,0.5283018946647644,24/27,3/20,1/6,best,,,,,
17,0.4449643848547295,0.8432835820895522,1.0937755065304893,0.5660377740859985,25/27,5/20,0/6,best,,,,,
18,0.4130389333994531,0.8868159206945505,1.028613201209477,0.5094339847564697,19/27,7/20,1/6,,,,,,
19,0.3378366515207202,0.8955223880597015,1.051028432590621,0.5471698045730591,21/27,7/20,1/6,,,,,,
20,0.3526387587745688,0.8880597014925373,1.0799698616777147,0.5283018946647644,21/27,5/20,2/6,,,,,,
21,0.27890852785933373,0.9291044776119403,1.2250906697341375,0.5283018946647644,23/27,5/20,0/6,,,,,,
22,0.2583438206130444,0.9365671641791045,1.048766444836344,0.5283018946647644,21/27,6/20,1/6,,,,,,
23,0.21425046663342126,0.9353233833811176,1.3986315301486425,0.5471698045730591,23/27,5/20,1/6,,,,,,
24,0.21725882675999136,0.9216417910447762,1.1385915130376816,0.5283018946647644,21/27,6/20,1/6,,,,,,
25,0.20634074902175856,0.9353233833811176,1.1768712624907494,0.5471698045730591,21/27,7/20,1/6,,,,,,
26,0.1816951541243983,0.9589552238805971,1.372696643429143,0.5283018946647644,22/27,6/20,0/6,,,,,,
27,0.13068894743780368,0.9738805970149254,1.4375003735933984,0.5471698045730591,23/27,6/20,0/6,,,,,,
28,0.1488893064183753,0.9514925373134329,1.3487548700400762,0.5283018946647644,21/27,6/20,1/6,,,,,,
29,0.14591560703215758,0.9776119402985075,1.5186826118401118,0.5094339847564697,21/27,6/20,0/6,,,,,,
30,0.11278803161095216,0.9701492537313433,1.802059703107391,0.5471698045730591,24/27,5/20,0/6,,,,,,
31,0.11621540627588253,0.9701492537313433,1.896578232358609,0.5094339847564697,23/27,4/20,0/6,,,,,,
32,0.05958572157950544,0.9888059701492538,1.6370083849344934,0.5094339847564697,20/27,7/20,0/6,,,,,,
33,0.0760726091910654,0.9888059701492538,1.605157534990992,0.5283018946647644,21/27,6/20,1/6,,,,,,
34,0.05920188656987261,0.9888059701492538,1.690235192754439,0.5283018946647644,21/27,6/20,1/6,,,,,,
35,0.07622488644021848,0.9664179104477612,2.0184412880667617,0.5283018946647644,23/27,5/20,0/6,,,,,,
36,0.04802435540521184,0.9925373134328358,1.71197047829628,0.5660377740859985,22/27,6/20,2/6,best,,,,,
37,0.0479707251408888,0.9850746268656716,1.9146288763731718,0.5283018946647644,21/27,7/20,0/6,,,,,,
38,0.04445019775893845,0.9888059701492538,1.9736566822975874,0.5471698045730591,23/27,5/20,1/6,,,,,,
39,0.0437125546662024,0.9888059701492538,1.8002909677369254,0.5283018946647644,21/27,7/20,0/6,,,,,,
40,0.03057136149024035,0.9888059701492538,1.8625748037759746,0.5283018946647644,21/27,6/20,1/6,,,,,,
41,0.03423891913737848,0.9888059701492538,1.9368582562144314,0.5283018946647644,21/27,6/20,1/6,,,,,,
42,0.013343276480975589,1.0,1.974918230037604,0.5094339847564697,21/27,6/20,0/6,,,,,,
43,0.025884887251967442,1.0,2.275441847475512,0.5471698045730591,23/27,6/20,0/6,,,,,,
44,0.0155052685284372,0.9925373134328358,2.0653562316937104,0.5283018946647644,22/27,6/20,0/6,,,,,,
45,0.035468371555676885,0.9850746268656716,1.9757375972611564,0.5471698045730591,21/27,7/20,1/6,,,,,,
46,0.042320630096583045,0.9850746268656716,2.331536367801683,0.5283018946647644,21/27,7/20,0/6,,,,,,
47,0.014822573027217982,1.0,2.311217145196029,0.5849056839942932,23/27,7/20,1/6,best,,,,,
48,0.024444406070612257,0.9925373134328358,2.0928825666861877,0.5471698045730591,21/27,7/20,1/6,,,,,,
49,0.012653302311277844,0.996268656716418,2.234231803034033,0.5471698045730591,23/27,6/20,0/6,,,,,,
50,0.0166187316420821,0.996268656716418,2.1140540800988674,0.5471698045730591,21/27,7/20,1/6,,,,,,
51,0.017882344771676988,0.9925373134328358,2.1523458316390003,0.5660377740859985,22/27,7/20,1/6,,,,,,
52,0.02244505524216567,0.9925373134328358,2.504600064962038,0.5660377740859985,23/27,7/20,0/6,,,,,,
53,0.021067267217933557,0.996268656716418,2.5998921854687587,0.5660377740859985,23/27,6/20,1/6,,,,,,
54,0.021329226509507537,0.9925373134328358,2.1734270994950617,0.5283018946647644,21/27,6/20,1/6,,,,,,
55,0.03517302552285597,0.9925373134328358,1.9559027416897672,0.5471698045730591,19/27,9/20,1/6,,,,,,
56,0.006764651521001751,1.0,2.1270451825112104,0.5660377740859985,21/27,8/20,1/6,,,,,,
57,0.02479509369256665,0.9850746268656716,2.093730328604579,0.5471698045730591,22/27,6/20,1/6,,,,,,
58,0.013238637447516542,0.9888059701492538,1.9701431861945562,0.5471698045730591,19/27,10/20,0/6,,,,,,
59,0.007314227743950481,1.0,2.1120258449975933,0.5849056839942932,23/27,7/20,1/6,best,,,,,
60,0.0035911474414369064,1.0,2.4221309577780112,0.5471698045730591,22/27,7/20,0/6,,,,,,
61,0.01384408660354988,0.9925373134328358,2.3949731920646236,0.5660377740859985,22/27,7/20,1/6,,,,,,
62,0.013983024995380205,0.996268656716418,1.8329132609069347,0.5849056839942932,20/27,9/20,2/6,best,,,,,
63,0.0036037458877656906,1.0,2.3220377190570747,0.5660377740859985,21/27,8/20,1/6,,,,,,
64,0.008536731002910095,1.0,2.4945596417279114,0.5471698045730591,20/27,8/20,1/6,,,,,,
65,0.010103877288342892,0.996268656716418,2.147085754001247,0.5660377740859985,20/27,8/20,2/6,,,,,,
66,0.005988099348295277,1.0,2.3097569636468376,0.6037735939025879,22/27,8/20,2/6,best,,,,,
67,0.001927281046819325,1.0,2.1986545650953695,0.5471698045730591,20/27,7/20,2/6,,,,,,
68,0.024303103814486644,0.9888059701492538,2.847674963879399,0.5471698045730591,21/27,7/20,1/6,,,,,,
69,0.018879218588351992,0.9925373134328358,2.4689909638171748,0.5660377740859985,21/27,7/20,2/6,,,,,,
70,0.007298758065967538,0.996268656716418,2.3877614944108894,0.5660377740859985,20/27,9/20,1/6,,,,,,
71,0.005026357221660081,1.0,2.783195596321353,0.5471698045730591,21/27,7/20,1/6,,,,,,
72,0.005993419330306522,1.0,2.645158387321447,0.5660377740859985,20/27,9/20,1/6,,,,,,
73,0.01242448035873464,0.9925373134328358,2.603356790396252,0.5660377740859985,21/27,7/20,2/6,,,,,,
74,0.003107725486061167,1.0,2.560112500430218,0.5660377740859985,20/27,8/20,2/6,,,,,,
75,0.009475418623286817,0.9925373134328358,2.6702810946319784,0.5660377740859985,20/27,8/20,2/6,,,,,,
76,0.005640852931699945,1.0,2.681495533723916,0.5283018946647644,20/27,8/20,0/6,,,,,,
77,0.0029240777571533294,1.0,2.9559616554927612,0.5471698045730591,21/27,6/20,2/6,,,,,,
78,0.0028734127084023052,1.0,2.2612283879092763,0.5471698045730591,16/27,11/20,2/6,,,,,,
79,0.012333982980896368,0.996268656716418,3.0206632978349393,0.5471698045730591,21/27,6/20,2/6,,,,,,
80,0.0036946156970116,1.0,2.9085271116179814,0.5283018946647644,20/27,7/20,1/6,,,,,,
81,0.0037151939809139146,1.0,3.515050563643204,0.5283018946647644,21/27,7/20,0/6,,,,,,
82,0.00592685870119682,1.0,3.054844869878642,0.5094339847564697,20/27,7/20,0/6,,,,,,
83,0.009772094920102952,0.996268656716418,3.013804064631196,0.5471698045730591,20/27,9/20,0/6,,,,,,
84,0.0016741827775803874,1.0,3.1132257367633946,0.5471698045730591,21/27,8/20,0/6,,,,,,
85,0.0011585952940488568,1.0,3.302535117356456,0.5283018946647644,21/27,7/20,0/6,,,,,,
86,0.004628175858834924,1.0,2.9214368299123765,0.5094339847564697,20/27,7/20,0/6,,,,,,
87,0.004824902906890444,1.0,2.2399647167019014,0.5660377740859985,20/27,8/20,2/6,,,,,,
88,0.015012494928257281,0.9925373134328358,2.641622508643195,0.5849056839942932,20/27,9/20,2/6,,,,,,
89,0.0058758268090000395,1.0,2.638241884498192,0.5471698045730591,19/27,9/20,1/6,,,,,,
90,0.004054734770621265,1.0,3.0709008880133166,0.5849056839942932,23/27,6/20,2/6,,,,,,
91,0.019586202850250912,0.9888059701492538,3.9342581660406983,0.5471698045730591,23/27,6/20,0/6,,,,,,
92,0.04204315639255686,0.9888059701492538,2.8687185969819047,0.5471698045730591,21/27,7/20,1/6,,,,,,
93,0.0037670445172439805,0.996268656716418,2.63984211978303,0.5660377740859985,21/27,8/20,1/6,,,,,,
94,0.0019528168421684095,1.0,3.3852160742348394,0.5471698045730591,22/27,7/20,0/6,,,,,,
95,0.005712068922011639,0.996268656716418,2.493852237372526,0.5849056839942932,20/27,9/20,2/6,,,,,,
96,0.0024261732753632546,1.0,4.123130983583126,0.5094339847564697,23/27,4/20,0/6,,,,,,
97,0.01144096971137054,0.996268656716418,3.0469552354188636,0.5660377740859985,22/27,7/20,1/6,,,,,,
98,0.03749954243023098,0.996268656716418,2.525340079063816,0.5849056839942932,20/27,9/20,2/6,,,,,,
99,0.002610022026239755,1.0,3.2223754115070085,0.5283018946647644,21/27,6/20,1/6,,,,,,
100,0.004762278595774582,0.996268656716418,3.513198689685461,0.5094339847564697,21/27,6/20,0/6,,,,,,
TEST,,,,,,,,,5.1049968004226685,0.3207547068595886,13/20,4/20,0/13
