epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,1.0554976036299522,0.557213930496529,1.035710151706423,0.5283018946647644,0.35000000000000003,27/27,1/20,0/6,best,,,,,,
2,1.0952291648779342,0.5684079603472753,1.036925584077835,0.5283018946647644,0.35000000000000003,27/27,1/20,0/6,best,,,,,,
3,1.026650574669909,0.5920398012915654,1.03620822089059,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
4,1.0345352207546803,0.5995024878587296,1.032197620187487,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
5,0.9921097960045089,0.5584577117393266,1.0309209397860937,0.49056604504585266,0.3253086419753087,25/27,1/20,0/6,,,,,,,
6,1.0295809734223493,0.5323383087542519,1.050544342824391,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
7,1.034965274049275,0.5522388059701493,1.0460984110832214,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
8,1.0323278032132048,0.5907960200487677,1.0375582405499049,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
9,1.0698171711679716,0.577114428157237,1.0608301503317696,0.49056604504585266,0.3253086419753087,25/27,1/20,0/6,,,,,,,
10,1.033499708371376,0.5845771147244012,1.0486430142607008,0.4716981053352356,0.3302469135802469,20/27,5/20,0/6,,,,,,,
11,1.0520350755150638,0.560945273780111,1.0409426518848963,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
12,0.9905476868152618,0.6082089552238806,1.0399208558457238,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
13,0.9809584675440147,0.5833333334816035,1.0390481310231345,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
14,0.9945007518156251,0.5223880597014925,1.0499630314963204,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
15,0.9875642337016205,0.5870646767651857,1.0248583682945795,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
16,1.0292195855681576,0.5621890550229087,1.0226832713399614,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
17,0.9324768630426321,0.5833333334816035,1.0202299186161585,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
18,0.998156008435719,0.598258706615932,1.0299908561365945,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
19,0.9688245992162334,0.5808457714408192,1.0215950863701957,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
20,0.9304264597038725,0.6007462686567164,1.0107965639659338,0.49056604504585266,0.3339506172839506,23/27,3/20,0/6,,,,,,,
21,1.0177236452921112,0.5447761194029851,1.0205474666186742,0.49056604504585266,0.3253086419753087,25/27,1/20,0/6,,,,,,,
22,0.9148934808240008,0.5883084580079833,1.0102385197366988,0.49056604504585266,0.3253086419753087,25/27,1/20,0/6,,,,,,,
23,0.9544057330088829,0.6181592042766401,1.000816856111799,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
24,0.9539869988142554,0.6082089552238806,1.0069446180547987,0.49056604504585266,0.3296296296296296,24/27,2/20,0/6,,,,,,,
25,0.8752928193825394,0.6169154230338424,1.0213269804205214,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
26,0.9728546898756454,0.5920398012915654,0.9992377715451377,0.49056604504585266,0.3339506172839506,23/27,3/20,0/6,,,,,,,
27,0.8760424710031766,0.6268656716417911,0.9971145987510681,0.4528301954269409,0.2962962962962963,24/27,0/20,0/6,,,,,,,
28,0.9033326608921165,0.6368159206945505,0.9945152401924133,0.49056604504585266,0.3339506172839506,23/27,3/20,0/6,,,,,,,
29,0.9561626364046069,0.5646766170636931,0.9931771627494267,0.4716981053352356,0.31296296296296294,24/27,1/20,0/6,,,,,,,
30,0.8656717227466071,0.6119402985074627,1.0081943763153893,0.4528301954269409,0.2962962962962963,24/27,0/20,0/6,,,,,,,
31,0.8783511234753167,0.6455223880597015,0.986748925277165,0.5094339847564697,0.34629629629629627,24/27,3/20,0/6,,,,,,,
32,0.8708049970776287,0.662935323679625,0.9822951427527836,0.5471698045730591,0.3796296296296296,24/27,5/20,0/6,best,,,,,,
33,0.8761366556829481,0.6368159206945505,1.0038269247327531,0.43396228551864624,0.2839506172839506,23/27,0/20,0/6,,,,,,,
34,0.8722692607943692,0.6504975125860812,0.9943184724875859,0.4716981053352356,0.3216049382716049,22/27,3/20,0/6,,,,,,,
35,0.8708302676677704,0.6218905475602221,1.0009535551071167,0.5094339847564697,0.3333333333333333,27/27,0/20,0/6,,,,,,,
36,0.820275405004843,0.6131840797502603,0.9872926729066032,0.4528301954269409,0.3006172839506173,23/27,1/20,0/6,,,,,,,
37,0.8479670019292119,0.655472637112461,0.9864574543067387,0.4716981053352356,0.3172839506172839,23/27,2/20,0/6,,,,,,,
38,0.8550121481738874,0.6194029850746269,0.98267748100417,0.4528301954269409,0.2962962962962963,24/27,0/20,0/6,,,,,,,
39,0.863039562951273,0.6517412938288788,0.9992224212203707,0.4716981053352356,0.31296296296296294,24/27,1/20,0/6,,,,,,,
40,0.8276745926088361,0.6666666669632072,0.9837531277111599,0.5094339847564697,0.3592592592592592,21/27,6/20,0/6,,,,,,,
41,0.8516730372585467,0.6293532341273863,0.9725897099290576,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
42,0.8061424329209683,0.6927860699482818,0.9676650805132729,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,,,,,,,
43,0.8315125788325695,0.6977611940298507,1.0065692918641227,0.4716981053352356,0.30864197530864196,25/27,0/20,0/6,,,,,,,
44,0.806968088915099,0.68407960213832,0.9669780646051679,0.4528301954269409,0.31790123456790126,19/27,5/20,0/6,,,,,,,
45,0.7929883972922368,0.6753731343283582,0.9618817950998034,0.5094339847564697,0.39814814814814814,21/27,5/20,1/6,best,,,,,,
46,0.7601491648759415,0.7238805970149254,1.0052982504878725,0.5094339847564697,0.3419753086419753,25/27,2/20,0/6,,,,,,,
47,0.8307283582972057,0.6604477611940298,1.0017449302332742,0.5094339847564697,0.34629629629629627,24/27,3/20,0/6,,,,,,,
48,0.7176325508018038,0.6828358208955224,0.9860188024384635,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
49,0.7252944912483443,0.7064676618398126,0.987218018089022,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,,,,,,,
50,0.7740677621827197,0.6654228857204095,0.9760847304548536,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,,,,,,,
51,0.7616850417941364,0.662935323679625,0.9712566009589604,0.4528301954269409,0.3697530864197531,16/27,7/20,1/6,,,,,,,
52,0.7475840885247758,0.6741293535303714,0.9956475879464831,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
53,0.7456549597320272,0.700248756515446,0.9854456228869302,0.4716981053352356,0.3302469135802469,20/27,5/20,0/6,,,,,,,
54,0.7214216051706627,0.75,1.0107906716210502,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
55,0.7347895307327384,0.7873134328358209,0.9965695696217673,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,,,,,,,
56,0.7176335607446841,0.746268656716418,1.0013593477862222,0.49056604504585266,0.3469135802469136,20/27,6/20,0/6,,,,,,,
57,0.6898845923480703,0.7375621893512669,0.9836941829749516,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
58,0.6947623602489927,0.7101990051233946,0.994520149060658,0.49056604504585266,0.3469135802469136,20/27,6/20,0/6,,,,,,,
59,0.6869860020146441,0.6965174132318639,1.007344309772764,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
60,0.6934950271649147,0.7325870648248872,0.9952197585787091,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
61,0.6566777981039303,0.7487562192020132,1.0021453882966722,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
62,0.6517797123585174,0.7238805970149254,1.0134292926107134,0.49056604504585266,0.33827160493827163,22/27,4/20,0/6,,,,,,,
63,0.6543256494758735,0.746268656716418,0.9952017345598766,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
64,0.6613110788722536,0.766169154377126,1.002877420612744,0.49056604504585266,0.33827160493827163,22/27,4/20,0/6,,,,,,,
65,0.7046227757610491,0.7300995027841027,1.0281875069652284,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
66,0.7047820658381305,0.741293532634849,1.038395909326417,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
67,0.6298128548842757,0.7649253731343284,1.0104969229016985,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
68,0.6779670539631772,0.7723880597014925,0.9718631974288395,0.43396228551864624,0.31851851851851853,15/27,8/20,0/6,,,,,,,
69,0.607285300519929,0.7562189057691774,0.9982045271566936,0.49056604504585266,0.3469135802469136,20/27,6/20,0/6,,,,,,,
70,0.5999290929801429,0.7873134328358209,0.9981076398066112,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,,,,,,,
71,0.6575999598004925,0.7276119402985075,0.9706003814935684,0.4528301954269409,0.3308641975308642,16/27,8/20,0/6,,,,,,,
72,0.6231294134214743,0.7574626865671642,1.0299311301537923,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
73,0.653966369079565,0.7350746268656716,0.98686440714768,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
74,0.6266117996689099,0.7761194029850746,1.0206541631902968,0.5283018946647644,0.3716049382716049,22/27,6/20,0/6,,,,,,,
75,0.5783332598520748,0.7860696520378341,1.0128635934420995,0.5283018946647644,0.3716049382716049,22/27,6/20,0/6,,,,,,,
76,0.5509482394181081,0.8134328358208955,1.037693766610963,0.49056604504585266,0.34259259259259256,21/27,5/20,0/6,,,,,,,
77,0.6037577703150351,0.7487562192020132,1.021750420331955,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
78,0.5147544101103029,0.8059701492537313,0.9849650327648435,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
79,0.6249342865463513,0.7798507462686567,0.9999646310295377,0.5094339847564697,0.3592592592592592,21/27,6/20,0/6,,,,,,,
80,0.5511112918159855,0.823383084873655,1.0063922532967158,0.5094339847564697,0.3592592592592592,21/27,6/20,0/6,,,,,,,
81,0.5714050116601275,0.8047263684557445,0.978345221706799,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
82,0.5212121913904575,0.7873134328358209,1.0031701624393463,0.5283018946647644,0.37592592592592594,21/27,7/20,0/6,,,,,,,
83,0.6758677099845303,0.7276119402985075,0.9777861003364835,0.5094339847564697,0.3635802469135802,20/27,7/20,0/6,,,,,,,
84,0.5620503338860042,0.8084577117393266,1.0342175960540771,0.5283018946647644,0.36728395061728397,23/27,5/20,0/6,,,,,,,
85,0.6043761649460935,0.7636815923363415,0.9862341008016041,0.5283018946647644,0.3716049382716049,22/27,6/20,0/6,,,,,,,
86,0.5533959910051146,0.7761194029850746,1.014528072306088,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
87,0.6038361507565227,0.7711442789035057,1.1217981395976884,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
88,0.5760149661618382,0.7947761194029851,1.0829753471272332,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
89,0.5468884774330837,0.8134328358208955,1.0416729641812188,0.5094339847564697,0.3549382716049383,22/27,5/20,0/6,,,,,,,
90,0.5649005514917089,0.8022388059701493,1.0748430831091744,0.5094339847564697,0.34629629629629627,24/27,3/20,0/6,,,,,,,
91,0.4954302760202493,0.8059701492537313,1.061011593256678,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
92,0.5087860167693736,0.8097014925373134,1.1396843205605234,0.5094339847564697,0.34629629629629627,24/27,3/20,0/6,,,,,,,
93,0.5606539298349352,0.7860696520378341,1.0996029185397285,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
94,0.4696345110215358,0.7947761194029851,1.187397527907576,0.5094339847564697,0.35061728395061725,23/27,4/20,0/6,,,,,,,
95,0.5257100219935623,0.8097014925373134,1.1124658659100533,0.5283018946647644,0.3716049382716049,22/27,6/20,0/6,,,,,,,
96,0.5728409924169084,0.8059701492537313,1.0744127971785409,0.5094339847564697,0.3679012345679012,19/27,8/20,0/6,,,,,,,
97,0.5189407271013331,0.8159203983064908,1.0874605434281486,0.5283018946647644,0.36728395061728397,23/27,5/20,0/6,,,,,,,
98,0.5047481550153956,0.7922885573622006,1.0620055411543166,0.5660377740859985,0.40061728395061724,23/27,7/20,0/6,best,,,,,,
99,0.49822107068638305,0.835820895522388,1.0892238010253226,0.5283018946647644,0.3716049382716049,22/27,6/20,0/6,,,,,,,
100,0.4175787673734907,0.8619402985074627,1.0692660361528397,0.5283018946647644,0.37592592592592594,21/27,7/20,0/6,,,,,,,
TEST,,,,,,,,,,1.7209728232451849,0.35849058628082275,0.31666666666666665,13/20,6/20,0/13
