epoch,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_c0,test_c1,test_c2
64,0.6261535480396071,0.7748756221870878,0.9439259533371244,0.5283018946647644,20/27,6/20,2/6,,,,,,
65,0.6956347574048968,0.7114427863661923,0.9241285047360829,0.5471698045730591,20/27,7/20,2/6,,,,,,
66,0.6438366497185692,0.7338308460676848,0.9382040479353496,0.5471698045730591,22/27,6/20,1/6,,,,,,
67,0.6016018097080401,0.7599502490527594,0.9350006984812873,0.5849056839942932,22/27,6/20,3/6,,,,,,
68,0.6557010421112403,0.7699004976607081,0.9310271782534463,0.5660377740859985,20/27,7/20,3/6,,,,,,
69,0.6516846705283692,0.7475124379592155,0.9312225665364947,0.5660377740859985,19/27,9/20,2/6,,,,,,
70,0.647884068871612,0.745024875918431,0.9596868710858482,0.5660377740859985,22/27,7/20,1/6,,,,,,
71,0.6337708423275557,0.7263681595005206,0.9384712427854538,0.5660377740859985,21/27,8/20,1/6,,,,,,
72,0.6145025960989853,0.7636815923363415,0.9386330949408668,0.5660377740859985,22/27,7/20,1/6,,,,,,
73,0.6660367450607356,0.7699004976607081,1.0338076970406942,0.5094339847564697,23/27,4/20,0/6,,,,,,
74,0.6227542868078645,0.8047263684557445,0.9666369685104915,0.5471698045730591,22/27,6/20,1/6,,,,,,
75,0.5899966768364409,0.7574626865671642,0.9592760971614293,0.5283018946647644,21/27,6/20,1/6,,,,,,
76,0.579457428917956,0.7699004976607081,0.9537190752370017,0.5660377740859985,22/27,7/20,1/6,,,,,,
77,0.532027113126285,0.7711442789035057,0.968984210065433,0.5660377740859985,23/27,6/20,1/6,,,,,,
78,0.5911718586932367,0.7723880597014925,0.9679036204304013,0.5849056839942932,23/27,7/20,1/6,,,,,,
79,0.6216314103621156,0.7736318409442902,0.911815766777311,0.5283018946647644,19/27,7/20,2/6,,,,,,
80,0.585672675451236,0.7276119402985075,0.954114515866552,0.5471698045730591,20/27,7/20,2/6,,,,,,
81,0.5498621087910524,0.8097014925373134,0.9665661816086087,0.5660377740859985,21/27,6/20,3/6,,,,,,
82,0.5629433669261078,0.7860696520378341,0.9851679078170231,0.5471698045730591,22/27,6/20,1/6,,,,,,
83,0.5477537508331128,0.8047263684557445,1.008080584662301,0.5094339847564697,22/27,5/20,0/6,,,,,,
84,0.5871028003852758,0.7898009953214161,0.9810244696480888,0.5660377740859985,21/27,7/20,2/6,,,,,,
