epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,0.001,1.1336913553636465,0.3221393036308573,1.1589169757706779,0.30188679695129395,0.3444444444444444,0/27,14/20,2/6,,,,,,
2,0.001,1.101643973322057,0.34950248785872956,1.1501714927809579,0.37735849618911743,0.4327160493827161,4/27,13/20,3/6,,,,,,
3,0.001,1.0945983760392488,0.3582089552238806,1.1423352105276925,0.35849058628082275,0.4549382716049382,4/27,11/20,4/6,,,,,,
4,0.001,1.0724716319966672,0.4042288558696633,1.13398853795869,0.35849058628082275,0.4549382716049382,4/27,11/20,4/6,,,,,,
5,0.001,1.0774586903515146,0.33955223880597013,1.1265388982636588,0.35849058628082275,0.4549382716049382,4/27,11/20,4/6,,,,,,
6,0.001,1.0668881233058758,0.35696517442589376,1.1217127740383148,0.4716981053352356,0.5246913580246914,11/27,10/20,4/6,,,,,,
7,0.001,1.0231244973282316,0.47636815950052064,1.113147931439536,0.4528301954269409,0.5123456790123456,10/27,10/20,4/6,,,,,,
8,0.001,1.0490407516707236,0.4154228857204096,1.106566731418882,0.4528301954269409,0.5080246913580247,11/27,9/20,4/6,,,,,,
9,0.001,1.0238655298503476,0.4378109454219021,1.1004170051642828,0.4528301954269409,0.5080246913580247,11/27,9/20,4/6,,,,,,
10,0.001,1.0367724815411354,0.43034825885473793,1.0934102066925593,0.4528301954269409,0.5080246913580247,11/27,9/20,4/6,,,,,,
11,0.0005,1.0087764325426585,0.4701492537313433,1.090240240097046,0.4528301954269409,0.5080246913580247,11/27,9/20,4/6,,,,,,
12,0.0005,1.0384585901872436,0.40298507462686567,1.086747910295214,0.4528301954269409,0.5080246913580247,11/27,9/20,4/6,,,,,,
13,0.0005,1.0131557850695367,0.4676616916905588,1.0836805318083083,0.4528301954269409,0.5080246913580247,11/27,9/20,4/6,,,,,,
14,0.0005,1.0098650553333226,0.4639303484069767,1.0800264520304543,0.4716981053352356,0.5635802469135802,11/27,9/20,5/6,,,,,,
15,0.0005,1.0137536819301434,0.38681592069455045,1.0778071071420396,0.49056604504585266,0.575925925925926,12/27,9/20,5/6,,,,,,
16,0.0005,0.9986925596621499,0.475124378257723,1.074261827128274,0.49056604504585266,0.575925925925926,12/27,9/20,5/6,,,,,,
17,0.0005,0.9898658652803791,0.5087064678099618,1.0701280917440141,0.4716981053352356,0.5635802469135802,11/27,9/20,5/6,,,,,,
18,0.0005,1.0007681152713832,0.4577114430826102,1.0664921998977661,0.4716981053352356,0.5635802469135802,11/27,9/20,5/6,,,,,,
19,0.0005,0.9735868279613665,0.5435323386049983,1.0654052112783705,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
20,0.0005,0.9939047338357613,0.4987562192020132,1.0616515960012163,0.49056604504585266,0.575925925925926,12/27,9/20,5/6,,,,,,
21,0.00025,0.9834448161409862,0.48507462686567165,1.0615354691232954,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
22,0.00025,1.001832672019503,0.5024875624855952,1.0591265559196472,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
23,0.00025,0.971177074446607,0.5522388059701493,1.0573565363883972,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
24,0.00025,0.9855232585721941,0.5087064678099618,1.0564933376652854,0.49056604504585266,0.571604938271605,13/27,8/20,5/6,,,,,,
25,0.00025,0.9706663111252571,0.5509950251721624,1.0543474767889296,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
26,0.00025,0.9687997120529858,0.516169154377126,1.0529604639325822,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
27,0.00025,0.9682636403325778,0.5323383087542519,1.051664458853858,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
28,0.00025,0.983653870981131,0.4975124379592155,1.0499560705253057,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
29,0.00025,0.9610949505620928,0.557213930496529,1.0477357379027776,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
30,0.00025,0.9705051993256184,0.5659203983064908,1.0477339625358582,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
31,0.000125,0.9816363729647736,0.503731343283582,1.0466008399214064,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
32,0.000125,0.9597493401214258,0.491293532634849,1.0450624355248042,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
33,0.000125,0.9730172339660018,0.5,1.045061366898673,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
34,0.000125,0.9529238441097203,0.5273631842278722,1.0440515556505747,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
35,0.000125,0.9856093223415204,0.5373134328358209,1.0440752378531866,0.5471698045730591,0.612962962962963,15/27,9/20,5/6,,,,,,
36,0.000125,0.9672216141401832,0.5360696520378341,1.0429856117282594,0.49056604504585266,0.5672839506172839,14/27,7/20,5/6,,,,,,
37,0.000125,0.9532565572368565,0.5559701492537313,1.0424630407776152,0.5283018946647644,0.5962962962962963,15/27,8/20,5/6,,,,,,
38,0.000125,0.9511965424267214,0.5534825872129469,1.0409832767077856,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
39,0.000125,0.9609952631281383,0.5708955223880597,1.0397916585206985,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
40,0.000125,0.9470147873038677,0.5721393036308573,1.0395998081990652,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
41,6.25e-05,0.9532780856338899,0.5547263684557445,1.0387742859976632,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
42,6.25e-05,0.9609331906731449,0.5497512439293648,1.0392100385257177,0.5094339847564697,0.5839506172839507,14/27,8/20,5/6,,,,,,
43,6.25e-05,0.9539171915445754,0.5833333334816035,1.0387258848973684,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
44,6.25e-05,0.952802859580339,0.5584577117393266,1.038184798189572,0.5283018946647644,0.6006172839506173,14/27,9/20,5/6,,,,,,
45,6.25e-05,0.9804247679995067,0.5087064678099618,1.038684063724109,0.5094339847564697,0.5796296296296296,15/27,7/20,5/6,,,,,,
46,6.25e-05,0.9605268644752787,0.5335820895522388,1.038335993885994,0.5283018946647644,0.5962962962962963,15/27,8/20,5/6,,,,,,
47,6.25e-05,0.9591344755087325,0.5248756221870878,1.037875880088125,0.5283018946647644,0.5962962962962963,15/27,8/20,5/6,,,,,,
48,6.25e-05,0.9351330475131078,0.5845771147244012,1.0368067898920603,0.49056604504585266,0.5672839506172839,14/27,7/20,5/6,,,,,,
49,6.25e-05,0.9648964213791178,0.5398009953214161,1.0366553110735757,0.5471698045730591,0.612962962962963,15/27,9/20,5/6,,,,,,
50,6.25e-05,0.952873045828805,0.5721393036308573,1.0354476634945189,0.5094339847564697,0.5882716049382716,13/27,9/20,5/6,,,,,,
TEST,,,,,,,,,,1.2943895629474096,0.49056604504585266,0.532051282051282,11/20,4/20,11/13
