epoch,lr,train_loss,train_acc,val_loss,val_acc,val_c0,val_c1,val_c2,test_loss,test_acc,test_c0,test_c1,test_c2
1,0.001,1.1258412074686877,0.20273631855623045,1.1936460818563188,0.18867924809455872,7/27,0/20,3/6,,,,,
2,0.001,1.112192919005209,0.24253731343283583,1.1807613330227988,0.2641509473323822,9/27,0/20,5/6,,,,,
3,0.001,1.1119371670395581,0.2624378110935439,1.1696418906961168,0.28301888704299927,10/27,0/20,5/6,,,,,
4,0.001,1.132558078018587,0.24253731343283583,1.1593097618647985,0.37735849618911743,15/27,0/20,5/6,,,,,
5,0.001,1.1144511495063554,0.282338308754252,1.1506737172603607,0.3962264060974121,16/27,0/20,5/6,,,,,
6,0.001,1.0995957771343972,0.31467661706369315,1.1377750422273363,0.3396226465702057,13/27,0/20,5/6,,,,,
7,0.001,1.0681536651369352,0.3333333334816036,1.1298984118870325,0.35849058628082275,14/27,0/20,5/6,,,,,
8,0.001,1.0741261759800698,0.34328358208955223,1.12080836721829,0.35849058628082275,14/27,0/20,5/6,,,,,
9,0.001,1.0674309979623824,0.3246268656716418,1.1115082587514604,0.35849058628082275,14/27,0/20,5/6,,,,,
10,0.001,1.0624565161875825,0.35447761194029853,1.1046144110815865,0.3962264060974121,16/27,0/20,5/6,,,,,
11,0.0005,1.0566124364511291,0.39427860726171465,1.099490306207112,0.35849058628082275,14/27,0/20,5/6,,,,,
12,0.0005,1.0328381043761523,0.39676616930249914,1.0963249930313654,0.3962264060974121,16/27,0/20,5/6,,,,,
13,0.0005,1.0248532793415126,0.43283582089552236,1.0913568649973189,0.35849058628082275,14/27,0/20,5/6,,,,,
14,0.0005,1.0445987297527826,0.3582089552238806,1.0867004948002952,0.3396226465702057,13/27,0/20,5/6,,,,,
15,0.0005,1.0430450608481223,0.35945273646667825,1.0835570905889784,0.35849058628082275,14/27,0/20,5/6,,,,,
16,0.0005,1.014140330143829,0.458955223880597,1.0793011443955558,0.3396226465702057,13/27,0/20,5/6,,,,,
17,0.0005,1.0094103893237327,0.4079601991532454,1.0767163251127516,0.35849058628082275,14/27,0/20,5/6,,,,,
18,0.0005,1.0018373558770364,0.458955223880597,1.0722118871552604,0.3396226465702057,13/27,0/20,5/6,,,,,
19,0.0005,1.0085607197747302,0.45149253731343286,1.0692028105258942,0.37735849618911743,15/27,0/20,5/6,,,,,
20,0.0005,1.0103356944980906,0.4564676618398125,1.0647921179022108,0.35849058628082275,13/27,0/20,6/6,,,,,
21,0.00025,1.017154876420747,0.43283582089552236,1.063425259930747,0.35849058628082275,13/27,0/20,6/6,,,,,
22,0.00025,1.0099511956101033,0.43159204009753555,1.062626987695694,0.43396228551864624,17/27,0/20,6/6,,,,,
23,0.00025,0.996939327289809,0.47885572154130507,1.060889401606151,0.4716981053352356,19/27,0/20,6/6,,,,,
24,0.00025,0.9958166101975228,0.43407960213832003,1.0587855620043618,0.4150943458080292,16/27,0/20,6/6,,,,,
25,0.00025,0.9985335558208067,0.46517412964977434,1.0574447086879186,0.4528301954269409,18/27,0/20,6/6,,,,,
26,0.00025,0.9796039115137128,0.5024875624855952,1.0551759728363581,0.4150943458080292,16/27,0/20,6/6,,,,,
27,0.00025,0.9928418033158601,0.4465174132318639,1.053824586527688,0.43396228551864624,17/27,0/20,6/6,,,,,
28,0.00025,0.9915190570390047,0.47761194029850745,1.0526428392955236,0.5094339847564697,21/27,0/20,6/6,,,,,
29,0.00025,0.9932362339389857,0.4950248759184311,1.0496062338352203,0.4150943458080292,15/27,1/20,6/6,,,,,
30,0.00025,0.9920826838977301,0.4713930349741409,1.0486948830740792,0.43396228551864624,16/27,1/20,6/6,,,,,
31,0.000125,0.9914456926175018,0.4601990051233946,1.0478755916867937,0.43396228551864624,16/27,1/20,6/6,,,,,
32,0.000125,1.0001796132593013,0.48134328358208955,1.0472393376486642,0.4528301954269409,17/27,1/20,6/6,,,,,
33,0.000125,0.9778186331934003,0.48631840810846927,1.0463116722447532,0.5283018946647644,21/27,1/20,6/6,,,,,
34,0.000125,0.9696504349139199,0.5248756221870878,1.046110796076911,0.5283018946647644,21/27,1/20,6/6,,,,,
35,0.000125,0.9859462949767042,0.5310945275114544,1.0458064377307892,0.5283018946647644,22/27,0/20,6/6,,,,,
36,0.000125,0.9820844433200893,0.5,1.044548864875521,0.5283018946647644,21/27,1/20,6/6,,,,,
37,0.000125,0.9730523370984775,0.4962686567164179,1.0435122506959098,0.4716981053352356,18/27,1/20,6/6,,,,,
38,0.000125,0.9843519018657172,0.46890547293335644,1.0427942446299963,0.5094339847564697,20/27,1/20,6/6,,,,,
39,0.000125,0.9815315977850957,0.516169154377126,1.0425486181463515,0.5849056839942932,24/27,1/20,6/6,,,,,
40,0.000125,0.9868602468006646,0.4950248759184311,1.0406131488936288,0.49056604504585266,19/27,1/20,6/6,,,,,
41,6.25e-05,0.9866562503487316,0.491293532634849,1.0406966975757055,0.4528301954269409,17/27,1/20,6/6,,,,,
42,6.25e-05,0.9781929850578308,0.491293532634849,1.0395175303731645,0.4528301954269409,17/27,1/20,6/6,,,,,
43,6.25e-05,0.9863518174014875,0.4427860699482818,1.0401716104575567,0.5660377740859985,23/27,1/20,6/6,,,,,
44,6.25e-05,0.9806072418369464,0.5024875624855952,1.040402957371303,0.5849056839942932,24/27,1/20,6/6,,,,,
45,6.25e-05,0.9914699837343016,0.4527363185562305,1.0392814874649048,0.5849056839942932,24/27,1/20,6/6,,,,,
46,6.25e-05,0.9605553844081822,0.5024875624855952,1.0384333005973272,0.4716981053352356,18/27,1/20,6/6,,,,,
47,6.25e-05,0.9795403952029214,0.49004975139205137,1.0379380966935838,0.4528301954269409,17/27,1/20,6/6,,,,,
48,6.25e-05,0.9714329527385199,0.4452736319890663,1.0376464426517487,0.4716981053352356,18/27,1/20,6/6,,,,,
49,6.25e-05,0.9945709963343037,0.5062189057691774,1.0372986963817052,0.5094339847564697,20/27,1/20,6/6,,,,,
50,6.25e-05,0.9990431381695306,0.44776119402985076,1.0370076852185386,0.5094339847564697,20/27,1/20,6/6,,,,,
TEST,,,,,,,,,1.2467412182262965,0.5849056839942932,16/20,4/20,11/13
