epoch,lr,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,0.001,1.2134326242688875,0.31343283582089554,1.2031725772789545,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,,,,,,
2,0.001,1.142680024033162,0.31840796034727525,1.1912557823317391,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,,,,,,
3,0.001,1.1423520267899356,0.3246268656716418,1.1768848299980164,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,,,,,,
4,0.001,1.1209047926006033,0.3283582089552239,1.1698152252605982,0.37735849618911743,0.3333333333333333,0/27,20/20,0/6,,,,,,
5,0.001,1.0968834277409225,0.3246268656716418,1.1615986270563943,0.35849058628082275,0.35555555555555557,0/27,18/20,1/6,,,,,,
6,0.001,1.0719108092251108,0.4042288558696633,1.1600697806903295,0.35849058628082275,0.35555555555555557,0/27,18/20,1/6,,,,,,
7,0.001,1.0870996900458834,0.35323383114231166,1.1563489139080048,0.3207547068595886,0.32222222222222224,0/27,16/20,1/6,,,,,,
8,0.001,1.0655162281064845,0.4079601991532454,1.1498130517346519,0.3396226465702057,0.3345679012345679,1/27,16/20,1/6,,,,,,
9,0.001,1.0566581229665386,0.4042288558696633,1.1468711027077265,0.43396228551864624,0.3919753086419753,7/27,15/20,1/6,,,,,,
10,0.001,1.061755610046102,0.41044776119402987,1.1451768364225114,0.4716981053352356,0.4166666666666667,9/27,15/20,1/6,,,,,,
11,0.0005,1.0600309665523358,0.4203980102467893,1.1421264154570443,0.4528301954269409,0.404320987654321,8/27,15/20,1/6,,,,,,
12,0.0005,1.0683243977489756,0.42288557228757373,1.1398844037737166,0.5660377740859985,0.5216049382716049,13/27,15/20,2/6,,,,,,
13,0.0005,1.0478040113377927,0.47388059701492535,1.1391717110361372,0.5849056839942932,0.5296296296296296,15/27,14/20,2/6,,,,,,
14,0.0005,1.063201296685347,0.4216417910447761,1.1353702630315508,0.5849056839942932,0.5339506172839507,14/27,15/20,2/6,,,,,,
15,0.0005,1.0406864321053917,0.48258706482488717,1.1344837716647558,0.6037735939025879,0.5462962962962963,15/27,15/20,2/6,,,,,,
16,0.0005,1.0481080386176038,0.48258706482488717,1.1313635451453072,0.5660377740859985,0.5518518518518518,15/27,12/20,3/6,,,,,,
17,0.0005,1.035829072567954,0.5,1.1294820606708527,0.5660377740859985,0.5518518518518518,15/27,12/20,3/6,,,,,,
18,0.0005,1.0449117315349294,0.4564676618398125,1.1294761512960707,0.5660377740859985,0.512962962962963,15/27,13/20,2/6,,,,,,
19,0.0005,1.0379822334246849,0.475124378257723,1.127648332289287,0.5283018946647644,0.47962962962962963,15/27,11/20,2/6,,,,,,
20,0.0005,1.056349907348405,0.5012437812427977,1.1236532032489777,0.5660377740859985,0.5518518518518518,15/27,12/20,3/6,,,,,,
21,0.00025,1.0316868335453433,0.5211442789035057,1.1230096008096422,0.5849056839942932,0.5685185185185185,15/27,13/20,3/6,,,,,,
22,0.00025,1.0554198720561925,0.48507462686567165,1.1218157793794359,0.5660377740859985,0.5518518518518518,15/27,12/20,3/6,,,,,,
23,0.00025,1.0232325454256428,0.5111940298507462,1.121174876179014,0.5660377740859985,0.5518518518518518,15/27,12/20,3/6,,,,,,
24,0.00025,1.0327921394091935,0.5472636818885803,1.1216214001178741,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
25,0.00025,1.0314263185458397,0.5211442789035057,1.1204786002635956,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
26,0.00025,1.0457276986606086,0.5385572140786186,1.117614107472556,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
27,0.00025,1.0245344158428817,0.4925373134328358,1.118300382580076,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
28,0.00025,1.0356058585109995,0.5373134328358209,1.1172158803258623,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
29,0.00025,1.0331614684702746,0.5348258707950364,1.1168998735291618,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
30,0.00025,1.0257647971608745,0.5398009953214161,1.114946416446141,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
31,0.000125,1.0474958909091665,0.503731343283582,1.1148416612829481,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
32,0.000125,1.0221612996129847,0.5286069654706699,1.1144823602267675,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
33,0.000125,1.023848839660189,0.5422885573622006,1.113036457981382,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
34,0.000125,1.0108854672802028,0.5584577117393266,1.113310911825725,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
35,0.000125,1.034217588492294,0.5149253731343284,1.112210260970252,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
36,0.000125,1.0223207945254311,0.5174129356199236,1.11205535701343,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
37,0.000125,1.0390021507419758,0.4875621893512669,1.1101140592779433,0.5660377740859985,0.5907407407407407,15/27,11/20,4/6,,,,,,
38,0.000125,1.0110602823655996,0.5957711445751475,1.1127073509352547,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
39,0.000125,1.0208279792942219,0.5559701492537313,1.1095984280109406,0.5660377740859985,0.5907407407407407,15/27,11/20,4/6,,,,,,
40,0.000125,1.0207958861963073,0.5099502490527594,1.1104631338800703,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
41,6.25e-05,1.0251219299302172,0.5049751245263797,1.1087667346000671,0.5660377740859985,0.5907407407407407,15/27,11/20,4/6,,,,,,
42,6.25e-05,1.0150354860433892,0.5422885573622006,1.1098533953939165,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
43,6.25e-05,1.0243685757046315,0.5435323386049983,1.1091779555593217,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
44,6.25e-05,1.0066809262802352,0.585820895522388,1.109537077801568,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
45,6.25e-05,1.0158695787636203,0.5547263684557445,1.1090462420667921,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
46,6.25e-05,1.0200986684258304,0.5310945275114544,1.1094196055616652,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
47,6.25e-05,1.0246704225219898,0.5199004976607081,1.1081837628568922,0.5471698045730591,0.5351851851851852,15/27,11/20,3/6,,,,,,
48,6.25e-05,1.0180275475800926,0.5435323386049983,1.1075704395771027,0.5660377740859985,0.5907407407407407,15/27,11/20,4/6,,,,,,
49,6.25e-05,1.0176352796269887,0.5261194029850746,1.108322765145983,0.5283018946647644,0.5185185185185185,15/27,10/20,3/6,,,,,,
50,6.25e-05,1.0228442362884977,0.5199004976607081,1.1085411991391863,0.5094339847564697,0.5018518518518519,15/27,9/20,3/6,,,,,,
TEST,,,,,,,,,,1.4455608129501343,0.49056604504585266,0.49615384615384617,11/20,8/20,7/13
