epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
1,1.3129840564371935,0.3246268656716418,1.095713232244764,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,best,,,,,,
2,1.2839331920467205,0.3047263684557445,1.0960549030985152,0.1320754736661911,0.35000000000000003,0/27,1/20,6/6,best,,,,,,
3,1.2726786207796923,0.332089552238806,1.1090291397912162,0.16981132328510284,0.3444444444444445,0/27,4/20,5/6,,,,,,,
4,1.2445562446295326,0.35572139318309615,1.1339505485125951,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,,,,,,,
5,1.2652514087620066,0.30223880597014924,1.1152063182422094,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,,,,,,,
6,1.2225241607694484,0.34825870661593195,1.1025885684149606,0.16981132328510284,0.3833333333333333,0/27,3/20,6/6,best,,,,,,
7,1.2057023226325192,0.39054726397813255,1.092176914215088,0.24528302252292633,0.45,0/27,7/20,6/6,best,,,,,,
8,1.1968177921736418,0.3743781096010066,1.0716785788536072,0.3207547068595886,0.5166666666666667,0/27,11/20,6/6,best,,,,,,
9,1.1761538653231378,0.4079601991532454,1.085655357156481,0.2075471729040146,0.4166666666666667,0/27,5/20,6/6,,,,,,,
10,1.1754960399955066,0.4552238805970149,1.0941606249128069,0.11320754885673523,0.3333333333333333,0/27,0/20,6/6,,,,,,,
11,1.1878521824950603,0.40671641791044777,1.1205394182886397,0.15094339847564697,0.3666666666666667,0/27,2/20,6/6,,,,,,,
12,1.1322131815241343,0.4415422887054842,1.06519815325737,0.30188679695129395,0.3833333333333333,0/27,13/20,3/6,,,,,,,
13,1.1021357570121537,0.5012437812427977,1.0494189347539629,0.3396226465702057,0.4469135802469135,2/27,12/20,4/6,,,,,,,
14,1.1087280805431194,0.5099502490527594,1.0362408203738076,0.35849058628082275,0.4246913580246914,2/27,14/20,3/6,,,,,,,
15,1.0906150919287951,0.4875621893512669,1.0595001110008784,0.35849058628082275,0.39444444444444443,0/27,17/20,2/6,,,,,,,
16,1.0573171804200356,0.4701492537313433,1.01108033316476,0.3962264060974121,0.42777777777777776,0/27,19/20,2/6,,,,,,,
17,1.063847484873302,0.5310945275114544,1.051127314567566,0.2641509473323822,0.4666666666666666,0/27,8/20,6/6,,,,,,,
18,1.0255407922303499,0.5509950251721624,1.041552803346089,0.30188679695129395,0.45679012345679015,1/27,10/20,5/6,,,,,,,
19,1.004524047694989,0.5547263684557445,1.0444366548742567,0.3396226465702057,0.5117283950617284,5/27,7/20,6/6,,,,,,,
20,0.9567592744507006,0.5534825872129469,1.0031542437417167,0.4150943458080292,0.4530864197530864,7/27,12/20,3/6,,,,,,,
21,0.9665636509212095,0.5895522388059702,1.013653623206275,0.35849058628082275,0.45925925925925926,3/27,12/20,4/6,,,,,,,
22,0.9796786103675614,0.5621890550229087,0.9903035930224827,0.4150943458080292,0.41419753086419747,7/27,13/20,2/6,,,,,,,
23,0.9427652963951453,0.5920398012915654,1.003599396773747,0.3207547068595886,0.39999999999999997,0/27,14/20,3/6,,,,,,,
24,0.9465454367559347,0.573383084873655,1.0487341667924608,0.30188679695129395,0.4611111111111111,0/27,11/20,5/6,,,,,,,
25,0.9134749080707778,0.5970149253731343,1.002019260610853,0.37735849618911743,0.45,0/27,17/20,3/6,,,,,,,
26,0.8771735211806511,0.5932835820895522,0.9734356701374054,0.37735849618911743,0.38950617283950617,5/27,13/20,2/6,,,,,,,
27,0.8275278566488579,0.6069651744258937,0.9813228249549866,0.5094339847564697,0.4759259259259259,12/27,13/20,2/6,,,,,,,
28,0.9347290627991975,0.5659203983064908,0.979527051959719,0.37735849618911743,0.4067901234567901,1/27,17/20,2/6,,,,,,,
29,0.898126619520472,0.598258706615932,0.9727819987705776,0.5094339847564697,0.47160493827160493,13/27,12/20,2/6,,,,,,,
30,0.8501409249964045,0.6666666669632072,0.9850240732942309,0.37735849618911743,0.4067901234567901,1/27,17/20,2/6,,,,,,,
31,0.7898673450768884,0.667910447761194,0.9717034952981132,0.5094339847564697,0.454320987654321,17/27,8/20,2/6,,,,,,,
32,0.8261875181055781,0.6194029850746269,0.9921001068183354,0.3396226465702057,0.41234567901234565,1/27,14/20,3/6,,,,,,,
33,0.8984886367819203,0.6119402985074627,0.9615614797387805,0.4528301954269409,0.4777777777777778,9/27,12/20,3/6,,,,,,,
34,0.736314727299249,0.6567164179104478,0.9651339948177338,0.43396228551864624,0.46975308641975305,7/27,13/20,3/6,,,,,,,
35,0.749124066153569,0.68407960213832,0.9743705306734357,0.43396228551864624,0.4654320987654321,8/27,12/20,3/6,,,,,,,
36,0.7487136883966958,0.6492537313432836,0.9769063506807599,0.43396228551864624,0.4308641975308642,7/27,14/20,2/6,,,,,,,
37,0.7119938028392507,0.655472637112461,0.9750173815659114,0.4528301954269409,0.44753086419753085,7/27,15/20,2/6,,,,,,,
38,0.7540677218739666,0.6703980102467892,0.970695116690227,0.4528301954269409,0.4518518518518519,6/27,16/20,2/6,,,,,,,
39,0.7044684742368869,0.7077114430826101,0.9664905667304993,0.3962264060974121,0.3932098765432099,8/27,11/20,2/6,,,,,,,
